comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
1445347358828932_1445348152162186,540404695989874_1445347358828932,,"b'Da fragt man, warum man Fl\xc3\xbcchtlinge aufnimmt , aber daf\xc3\xbcr nicht das passende Geld hat und schon explodiert der Server :D'",b'Danny G\xc3\xbcnther',2017-04-03 03:13:31,14
1445347358828932_1445351675495167,540404695989874_1445347358828932,,"b'Gute Sache!\n\nDie AfD sollte allerdings auch ihrerseits weiterhin Fragen stellen!\nzB in Richtung Philipp Lahms!\n\nEs strotzt nur so von diffusen Allgemeinpl\xc3\xa4tzen (altbekannte Euphemismen wie ""Weltoffenheit"") aus dem Satzbaukasten eines Kanzlerinnenkumpels (und Multimillion\xc3\xa4rs) bei ihm! So leicht sollte man ihn nun nicht davonkommen lassen: Wer sich mit Nullaussagen brav untert\xc3\xa4nigst medial profilieren m\xc3\xb6chte, sollte zur inhaltlichen Begr\xc3\xbcndung ins Kreuzfeuer gezwungen werden. \nSo auch zB ein B\xc3\xb6hmermann, der meines Wissens dem Genossen Lauer (der sich nach einem peinlichen Inetpranger einen Shitstorm einhandelte) mehrere  B\xc3\xbchnen bereitete wie auch Gewaltrapper Kollegah mit tendenz. antisem. Texten, w\xc3\xa4hrend er sich mWn noch nie direkt mit einem eloquenten AfDler \xc3\xb6ffentlich messen wollte!'",b'Volker Steukmann',2017-04-03 03:19:11,3
1445347358828932_1445360038827664,540404695989874_1445347358828932,1445347358828932_1445351675495167,"b'Volker Steukmann, Genau so ist es. Es wird nur nachgeplappert was man von den Eliten h\xc3\xb6rt, anstatt sich selbst zu informieren. Damit wird ihre Popularit\xc3\xa4t auf das Sch\xc3\xa4ndlichste ausgenutzt.'",b'Antonie Lehnert',2017-04-03 03:27:07,0
1445347358828932_1445453942151607,540404695989874_1445347358828932,1445347358828932_1445351675495167,"b'Antonie Lehnert Etwas ganz strategisch wichtiges in der Politk -  sich nicht auf Gepl\xc3\xa4nkel mit Nichtpolitikern einlassen. Da wirst du immer auf der Verliererseite sein.  Noch dazu wenn sie Sportler oder K\xc3\xbcnstler sind. Ist \xc3\xa4hnlich wie mit Kindern oder Tieren. Einfach total links liegen lassen, diese Typen.'",b'Werner Murovatz Senior',2017-04-03 04:55:23,0
1445347358828932_1445470008816667,540404695989874_1445347358828932,1445347358828932_1445351675495167,"b'Hm, das hie\xc3\x9fe ja auch wirklich gute Chancen zur breiten Pr\xc3\xa4sentation seiner Positionen per se auslassen?\n\nHeutzutage gibt es das sympathische Instrument der satirischen, humorvollen Antwort via Meme-Bildchen, welches sich tausendfach teilen l\xc3\xa4sst.\nWie machen das denn heute Maischberger und Co. linkisch? Sie pr\xc3\xa4sentieren aus dem Nix heraus kontextbefreite Meldungen und verdrehen so \xc3\xb6ffentlichkeitswirksam.\nDas kann man ebenso mit heutigen M\xc3\xb6glichkeiten: \nZB lasse man einfach mal dem kleinen Philipp das Allahu Akbar-Video von Peine oder aus der damaligen Suhler Asylunterkunft sehen oder man lese ihm den Fall Maria L. nochmal vor, dann kommt der schon ins Stottern!'",b'Volker Steukmann',2017-04-03 05:00:23,0
1445347358828932_1445357648827903,540404695989874_1445347358828932,,"b'Ich habe \xc3\xbcbrigens in TV die Frau Petry zugeh\xc3\xb6rt als sie dar\xc3\xbcber berichtet das damals als die AfD noch in die Kinder Schuhe steckte das eine reportage \xc3\xbcber diese gedreht wurde und doch nie gesendet wurde. Als die AfD nachfragte warum mann diese beitrag nicht gesendet hat kamm die antwort, der Redaktion ist es viel zu wenig Braun um es zu senden, wenn das wahr ist dann m\xc3\xbcsste mann doch wohl gegen diese Sender angehen, cih w\xc3\xbcrde es tun.'",b'Jean-Claude Tiec',2017-04-03 03:23:27,7
1445347358828932_1445387725491562,540404695989874_1445347358828932,1445347358828932_1445357648827903,"b'dasselbe verursachte bei mir auch ein ""h\xc3\xa4, wie bitte...?"" Da merkelt man mal wieder, wie neutral bei den GeZahl-Sendern gearbeitet wird. Kopfsch\xc3\xbcttel!'",b'Denis Henrik',2017-04-03 04:02:07,1
1445347358828932_1445461672150834,540404695989874_1445347358828932,1445347358828932_1445357648827903,"b'Was willst ""angehen""? Das w\xc3\xa4ren alles leere Kilometer und man w\xc3\xbcrde sich nur unn\xc3\xb6tig aufreiben.Immerhin ist dass schon bald 4 Jahre her, wie ich auch mitbekam.Schnee von gestern.'",b'Werner Murovatz Senior',2017-04-03 04:58:18,0
1445347358828932_1445502272146774,540404695989874_1445347358828932,1445347358828932_1445357648827903,b'N\xc3\xb6 kein Schnee von gestern doch der beweis daf\xc3\xbcr das L\xc3\xbcgenpresse existiert.',b'Jean-Claude Tiec',2017-04-03 05:33:44,0
1445347358828932_1445363202160681,540404695989874_1445347358828932,,b'weiter so gebt nicht auf macht was',b'Inge Buschmann',2017-04-03 03:31:58,1
