comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
10155916660928219_10155916664598219,47217143218_10155916660928219,,b'warum steigen dann in Deutschland die Strompreise ?',b'Danny Eichhorn',2017-04-02 03:31:48,11
10155916660928219_10155916667043219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'Unter anderem weil die Kosten ungerecht verteilt sind, weil etliche Unternehmen von der Umlage der Erneuerbaren-Förderung ausgenommen sind.'",b'BÜNDNIS 90/DIE GRÜNEN',2017-04-02 03:33:20,28
10155916660928219_10155916676503219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'Ja, und das ist auch gut so. Hier geht es schließlich um internationale Wettbewerbsfähigkeit. Gerade die Grundstofferzeugung ist sehr energeiintensiv. Ohne sie gibt es aber keine Wertschöpfungskette. Und die ist Basis unseres Wohlstandes, der wiederum Basis eines jeden Umweltschutzes ist. Umweltschutz funktioniert aus diesen Gründen eben in den entwickelten Ländern am besten. Im übrigen ist der Grund für die hohen Stompreise keine ""ungerechte"" Verteilung der Kosten sondern eine solche würde maximal den Anstieg etwas dämpfen. Grund ist, dass wir parallel zur ersten eine zweite (unzuverlässige) Energieversorgung aufbauen müssen!'",b'Matt Dee',2017-04-02 03:39:21,7
10155916660928219_10155916690028219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'Die Stromversorger müssten halt im vollem Umfang die gesunkenen Einkaufspreise an die Endkunden weitergeben, dann werden sich die Strompreise für Endkunden nicht stark erhöhen. Tun Sie das nicht, so wird der Strom durch die höhere EEG \xe2\x80\x93 Umlage sowie die Netzentgelte halt teurer. Die EEG-Umlage gleicht die Differenz zwischen dem Börsenstrompreis und der Einspeisevergütung aus, also je niedriger die Strompreise an der Börse für die Einkäufer, umso höher die EEG-Umlage für die Verbraucher.'",b'Walter Gleichmann',2017-04-02 03:48:38,2
10155916660928219_10155916693308219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'BÜNDNIS 90/DIE GRÜNEN das müssen Sie mir etwas näher erläutern. In Deutschland wurde massiv in Solar- und Windenergie investiert. Wenn diese Stromerzeugung alledings preiswerter ist, so müssten die Stromkosten doch sinken und nicht über die EEG-Umlage finanziert werden. Denn wenn Strom günstiger wird, so wird es in dem Beitrag dargestellt, dann frage ich mich welche zusätzliche Kosten ? Oder wird da die Sach enur schön gerechnet ?'",b'Danny Eichhorn',2017-04-02 03:50:11,9
10155916660928219_10155916699993219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'ah sorry, mein Fehler. Ich habe das "" * bei guten Bedingungen"" nicht gelesen. man hat also einen der wenigen Tage gemessen, in dem die Sonne nicht von ""Wolken"" der Flugzeuge verdeckt ist und entsprechend guten Wind. \nDie Statistik scheint aus der gleichen Feder wie die wunderbaren Statistiken über Ausländerkriminalität zu sein. \nKein Wunder, dass die Grünen immer mehr an Glaubwürdigkeit verlieren.'",b'Danny Eichhorn',2017-04-02 03:54:45,18
10155916660928219_10155916705193219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'Strompreis pro kWh für Verbraucher, Stand 2017\n\nKosten pro kWh: 29,16 Cent\n\nAnteil Steuern und Abgaben 55 %\n\nAnteil Netzentgelte 25,6%\n\nAnteil EEG-Umlage 23,6%\n\nAnstieg Strompreise 20 Jahre + 107%'",b'Walter Gleichmann',2017-04-02 03:58:06,4
10155916660928219_10155916723323219,47217143218_10155916660928219,10155916660928219_10155916664598219,b'Matt Dee > Das nenne ich mal eine Argumentation > steigende Preise erhöhen die internationale Wettbewerbsfähigkeit - sind Basis unseres Wohlstands welcher wiederum Basis eines jeden Umweltschutzes ist. Wie lange muss man für sowas studieren?',b'Werner Denner',2017-04-02 04:06:58,3
10155916660928219_10155916744163219,47217143218_10155916660928219,10155916660928219_10155916664598219,b'Walter Gleichmann Wow !',b'Chris Tailer',2017-04-02 04:17:01,0
10155916660928219_10155916747928219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'haha.......""Die Sonne scheint umsonst für alle und der Wind weht kostenlos"" war mal das Motto für die Erneuerbaren. Komisch, dass der Strom so teuer wie noch nie ist, muß da wohl was falsch verstanden haben :-o'",b'Hans Dreher',2017-04-02 04:19:33,3
10155916660928219_10155916757808219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'BÜNDNIS 90/DIE GRÜNEN Korrekt.\nVergesst aber bitte nicht die Änderung des Wälzungsmechnismus durch CxU/FDP/SPD in 2009, die seit 2010 zu einer extremen Steigerung der EEG Umlage geführt hat.\nEuch BÜNDNIS 90/DIE GRÜNEN mache ich aber zum Vorwurf, dass ihr das Thema Energiewende auch nicht richtig kommuniziert habt.\nDarum gibt es jetzt auch... www.klima-first.de'",b'Thomas Balmert',2017-04-02 04:21:35,1
10155916660928219_10155916798648219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'Wenn die Kosten auf die Unternehmen abgewälzt werden gehen die Unternehmen ins Ausland,einfache Logik.'",b'Manfred Oellien',2017-04-02 04:34:54,3
10155916660928219_10155916830088219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'Werner Denner - da haben Sie mich gründlich mißverstanden. Mit ""das ist auch gut so"" meinte ich, dass es gut ist, dass die Industriekunden eben nicht an den EEG Umlagen beteiligt werden. Und ja, dafür habe ich ein paar Jahre studiert \xf0\x9f\xa4\xa3'",b'Matt Dee',2017-04-02 04:57:53,0
10155916660928219_10155916858143219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'BÜNDNIS 90/DIE GRÜNEN Nein, weil die Netzkosten gestiegen sind. Länder sich querstellen neue Leitungen zu bauen, Windkraftanlagen in Betrieb genommen werden obwohl der Strom nur teilweise ins Netz gespeist werden kann, weil Leitungen fehlen. Und weil Windkraftunternehmen auch dann Geld bekommen, wenn die Räder wegen zu hoher Strombelastung abgeschaltet werden.'",b'Joachim Günther',2017-04-02 05:20:30,0
10155916660928219_10155916890998219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'Die Hintergründe, warum Strom immer teurer werden MUSS, kann man hier nachlesen.\n\nWas nutzt billiger Strom, wenn man ihn nachts oder bei Flaute gar nicht kaufen kann?\n\nhttp://www.rolandtichy.de/kolumnen/lichtblicke-kolumnen/wind-und-sonne-die-kannibalen-der-energiewende/'",b'Michael Schimpf',2017-04-02 05:48:49,2
10155916660928219_10155917796303219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'Matt Dee , sie finde es gut, dass viele Unternehmen keine EEG Umlagen zahlen und damit auch die Regierung erpresst, da sie sonst abwandern ?! Außerdem bezahlen wir mit der EEG Umlage nicht die erneuerbaren Energien, sondern.....https://www.oekologische-plattform.de/2012/09/verbraucher-zahlen-versteckte-konventionelle-energien-umlage-fur-kohle-und-atomstrom/'",b'Anabella Lu',2017-04-02 12:15:40,1
10155916660928219_10155918219853219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'Warum eigentlich immer gegen die Grünen hetzen? Die CDU und vor allem die AfD sind doch viel schlimmer! \nDas ist einfach total sinnlos, was die Rechten hier schon wieder schreiben.'",b'Linus Sa',2017-04-02 14:53:24,0
10155916660928219_10155918231388219,47217143218_10155916660928219,10155916660928219_10155916664598219,"b'Ja und die Bürgerinnen und Bürger die dumme EEG Zeche Blechen müssen! Am Anfang waren es 3,5 Cent/kWh in Jahr 2012 und nun im Jahr bei 6,88 Cent/kWh abzocke Danke Grüne! Habt ihr toll gemacht! \nHoffe ihr kommt unter die 5% bei der Bundestagswahl 2017'",b'Tobias Bonnekoh',2017-04-02 14:57:30,2
10155916660928219_10155918603293219,47217143218_10155916660928219,10155916660928219_10155916664598219,b'Linus Sa.\nDas ist Blödsinn was sie da schreiben. \nEs schreiben nicht die Rechten sondern es sind die blanken Fakten.',b'Manfred Oellien',2017-04-02 17:30:00,0
10155916660928219_10155918607518219,47217143218_10155916660928219,10155916660928219_10155916664598219,b'Tobias Bonnekoh.\nAn der Energiewende ist auch die SPD und die CDU beteiligt.',b'Manfred Oellien',2017-04-02 17:31:23,0
10155916660928219_10155919276093219,47217143218_10155916660928219,10155916660928219_10155916664598219,b'Aso jetzt wird das EEG dafür genutz! Ihr redet es euch alles schön die ökomist........',b'Tobias Bonnekoh',2017-04-02 22:34:19,0
10155916660928219_10155919284498219,47217143218_10155916660928219,10155916660928219_10155916664598219,b'Anabella Lu dabei hast du vergessen das die ökologische Plattform auch Strom verkauft zwar so komischen Ökostrom aber sie verkaufen ihn! Also schreibt man gerne was der öko Kunde möchte und hören will!',b'Tobias Bonnekoh',2017-04-02 22:37:34,0
10155916660928219_10155919285538219,47217143218_10155916660928219,10155916660928219_10155916664598219,b'Wo sind hier rechte bitte am schreiben?',b'Tobias Bonnekoh',2017-04-02 22:38:02,0
10155916660928219_10155916665168219,47217143218_10155916660928219,,b'http://www.sueddeutsche.de/wirtschaft/klimaschutz-unter-trump-auch-trump-wird-die-kohle-nicht-zurueckbringen-1.3445889 [[SHARE]]',b'BÜNDNIS 90/DIE GRÜNEN',2017-04-02 03:32:14,8
10155916660928219_10155916808413219,47217143218_10155916660928219,10155916660928219_10155916665168219,b'Wenn es der USA egal ist mit der Umweltverschmutzung....warum werden dann Autokonzerne zu Billionen Dollar Entschädigung verurteilt?',b'Edgar Lange',2017-04-02 04:43:03,2
10155916660928219_10155916890673219,47217143218_10155916660928219,10155916660928219_10155916665168219,b'Das ist doch so einfach: Umweltschutz ist dann nützlich wenn es Geld einbringt.',b'Manfred Cuntz',2017-04-02 05:48:33,1
10155916660928219_10155917450083219,47217143218_10155916660928219,10155916660928219_10155916665168219,"b'BÜNDNIS 90/DIE GRÜNEN, Nach dem Sie ja mein unangenehmen Kommentar bearbeitet haben hier nochmal und erneut durch einen Screenshot gesichert. Also die Frage...... SIe propagieren Meiner Meinung nach diesen ..... mit den erneuerbaren Energien dabei könnten Sie wesentlich bessere Projekte fördern wie z.b elektormagnetische Motoren die keine Emissionswerte  haben und bei der Herstellung einen Bruchteil des CO2-Wertes abgeben der bei der Herstellung von Windrädern freigegeben wird. Warum das ganze eigentlich??? ! Ganz einfach stellen Sie sich vor wenn jeder seinen Strom kostenlos zu Hause herstellen könnte, dann würden Millioneneinnahmen verloren gehen. (ach die Idee gibt es schon seit einigen Jahren, also kommen Sie mir nicht mit ....davon wussten wir nichts). @Manfred Cuntz @Edgar Lange, da geben ich Ihnen beiden sogar Recht dennoch sind die Amis wenigsten nicht verlogen und machen das offen, jedoch gerade die Grünen die sich doch den Umweltschutz auf die Brust geschrieben haben posten hier so etwas.  Auf BÜNDNIS 90/DIE GRÜNEN SAGEN SIE MIR WARUM SIE ANDERE  BESSERE TECHNOLOGIEN NICHT UNTERSTÜTZEN ????? Heuchlerisch.....:(                        https://www.youtube.com/watch?v=Qrw6Xj5a0nM'",b'Nils Elsner',2017-04-02 09:44:31,0
10155916660928219_10155917546898219,47217143218_10155916660928219,10155916660928219_10155916665168219,b'BÜNDNIS 90/DIE GRÜNEN. ich frage nochmals ??? Warum unterstützen Sie so etwas nicht ????',b'Nils Elsner',2017-04-02 10:23:28,0
10155916660928219_10155917965913219,47217143218_10155916660928219,10155916660928219_10155916665168219,"b'Weil es kein von Menschen gemachten Klimawandel gibt. Die Erde fragt Euch Grünen nicht, sie verändert sich seit Existenz der Erde. Aber wer kein Abschluss hat sollte seine Klappe halten.'",b'Frank Hentschel',2017-04-02 13:22:34,3
10155916660928219_10155920027163219,47217143218_10155916660928219,10155916660928219_10155916665168219,"b'Nils Elsner Es kann nicht mehr Energie aus dieser Maschine gewonnen werden, als vorher hineingesteckt werden muss. Bei dem Youtube-Video handelt es sich um ein Konzept des Schwungrads, also einer mechanischen Batterie. Ein Motor (oder Fußpedal) bringt die Turbine in Bewegung. Da hier der Bewegungswiderstand sehr gering ist (=Luftwiderstand), dreht sich die \xe2\x80\x9eTurbine"" relativ lange bis die potentielle Energie ausgegangen ist. Wenn du jetzt eine Lampe oder Wasserkocher anschließt, wird ein Magnetfeld induziert, welches sich auf die potentielle Energie dieser \xe2\x80\x9eTurbine"" auswirkt (\xe2\x80\x9eHysterese"" oder \xe2\x80\x9eMagnetbremse""), das Rad kommt zum Stehen bis wieder ein externe Motor das Rad in Schwung setzt. Das Problem ist der Wirkungsgrad des Motors.'",b'Jonassus Crassus',2017-04-03 05:46:14,0
10155916660928219_10155920029638219,47217143218_10155916660928219,10155916660928219_10155916665168219,"b'Frank Hentschel Wir müssen nur ganz fest an Gott glauben (aber nur an den richtigen!), denn dann bedarf es weder der Wissenschaft, noch ihren unsäglichen Erkenntnissen!'",b'Jonassus Crassus',2017-04-03 05:48:31,0
10155916660928219_10155916674758219,47217143218_10155916660928219,,"b'Wer Statistik kann ist hier klar im Vorteil. Denn natürlich sind die Kosten für Atomenergie teurer, nur werden hier eben absolute und nicht relative Zahlen miteinander verglichen. Daher ist die Statistik wertlos. Sorry'",b'Peter Lanisch',2017-04-02 03:38:12,1
10155916660928219_10155916684803219,47217143218_10155916660928219,10155916660928219_10155916674758219,b'Ich habe eine Verständnisfrage: Was wären denn relative Strompreise? Oder wie meinen sie das?',b'Nino Miklerovac',2017-04-02 03:45:17,0
10155916660928219_10155916696388219,47217143218_10155916660928219,10155916660928219_10155916674758219,"b'Etwa wenn man diese Zahlen ins Verhältnis setzt zum Anteil der - Beispiel: - Solarenergie in % am gesamten Energieaufkommen. Hättest du etwa ein Land, in dem 90% aller Energie aus Atomkraftwerken kommt, und nur 0.5% aus Solarkraftwerken, und wären die Kosten für Atomenergie = 70%, jene für Solarenergie aber 23%, wären absolut gesehen die Kosten für Atomenergie höher, relativ gesehen aber nicht'",b'Peter Lanisch',2017-04-02 03:52:10,1
10155916660928219_10155916704338219,47217143218_10155916660928219,10155916660928219_10155916674758219,"b'Egal welche Zahlen stimmen oder nicht, vernünftigerweise kommt wir an der Energiewenden nicht vorbei.\nDas ist Fakt und richtig so.'",b'Hans Meierding',2017-04-02 03:57:32,0
10155916660928219_10155916718728219,47217143218_10155916660928219,10155916660928219_10155916674758219,b'Atomstrom war schon immer der teuerste Strom! Würde alles reingerechnet z.B. Endlagerung... würden die Kosten für den Atomstrom nach oben sausen!',b'Walter Gleichmann',2017-04-02 04:05:03,1
10155916660928219_10155916841003219,47217143218_10155916660928219,10155916660928219_10155916674758219,b'Sorry aber wenn man der Statistik glauben schenkt ist Atomstrom absolut und relativ immer teurer als Solarstrom. Was die Statistik fast wertlos macht ist das hier die ganz Welt betrachtet wird. Aber Solarstrom wird auf unsere Erde leider nicht überall gleich gut erzeugt. Das heißt Solarstrom wird in Schweden immer mehr kosten als Atomstrom und in Dubai wird Solarstrom immer günstiger sein.',b'Carsten Göddel',2017-04-02 05:06:00,0
10155916660928219_10155916677043219,47217143218_10155916660928219,,"b'Wer hat denn diese Statistik gefälscht?  Wenn das stimmen würde, warum müssen wir dann Windstrom subventionieren? Warum bezahlen wir in D mit ca 30 Cent/KWh den teuersten Strompreis in der Welt?'",b'Reinhard D. Schulz',2017-04-02 03:39:45,4
10155916660928219_10155916712148219,47217143218_10155916660928219,10155916660928219_10155916677043219,"b'Die Stromversorger müssten halt im vollem Umfang die gesunkenen Einkaufspreise an die Endkunden weitergeben, dann werden sich die Strompreise für Endkunden nicht stark erhöhen. Tun Sie das nicht, so wird der Strom durch die höhere EEG \xe2\x80\x93 Umlage sowie die Netzentgelte halt teurer. Die EEG-Umlage gleicht die Differenz zwischen dem Börsenstrompreis und der Einspeisevergütung aus, also je niedriger die Strompreise an der Börse für die Einkäufer, umso höher die EEG-Umlage für die Verbraucher.'",b'Walter Gleichmann',2017-04-02 04:02:31,2
10155916660928219_10155916927323219,47217143218_10155916660928219,10155916660928219_10155916677043219,"b'Walter Gleichmann Die EEG-Umlage ist die Subvention! Wenn Solar- und Windstrom- für 2,7 Cent plus Netzentgeld zur Verfügung stünden, hätten wir den billigsten Strom und es bräuchte keiner Subvetion. Deshalb ist diese Statistik ein Betrug.'",b'Reinhard D. Schulz',2017-04-02 06:09:51,1
10155916660928219_10155916938188219,47217143218_10155916660928219,10155916660928219_10155916677043219,"b'Reinhard D. Schulz Strompreis pro kWh für Verbraucher, Stand 2017\n\nKosten pro kWh: 29,16 Cent\n\nAnteil Steuern und Abgaben 55 %\n\nAnteil Netzentgelte 25,6%\n\nAnteil EEG-Umlage 23,6%\n\nAnstieg Strompreise 20 Jahre + 107%'",b'Walter Gleichmann',2017-04-02 06:13:51,0
10155916660928219_10155916945673219,47217143218_10155916660928219,10155916660928219_10155916677043219,"b'Na also: 24% EEG fält weg, + 26% Netzentgelte reduziert sich weil der Netzausbau entfältt, + die Steuern von 55 % reduzieren sich mit.'",b'Reinhard D. Schulz',2017-04-02 06:17:33,0
10155916660928219_10155916678928219,47217143218_10155916660928219,,b'Über die Glaubwürdigkeit dieser Zahlen bin ich mir nicht sicher. Man darf nicht nur einzelne Teile herauspickern und verwenden. Blanke inhaltslose und für sich da stehende Zahlen sagen gar nichts.',b'Wolfgang Rodewald',2017-04-02 03:40:45,1
10155916660928219_10155916679118219,47217143218_10155916660928219,,b'Sofie Marie Thaidigsmann',b'Axel Dittrich',2017-04-02 03:40:56,0
