comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
10154493560287749_10154499046827749,47930567748_10154493560287749,,"b'Ich muss dem Punkt ""Schutz von Kindern mit Behinderungen"" bedauerlichweise vehemment widersprechen. Erstens, da die inklusiven Forderungen der UN-BRK zur Gleichstellung der Beschäftigten in deutschen Werkstätten für Menschen mit Behinderung noch immer nicht umgesetzt worden, was unter einer Groko auf Bundesebene erst Recht auf mein Unverständnis stößt. Wie weit ist die Egozentrik eines Landes eigentlich gediehen, welches bei einem derart hohen BIP von den Vereinten Nationen gerügt werden muss, weil es die Schwächsten der Schwachen derartig benachteiligt? Es ist beschämend. Zweitens, da die Senkung der Lohnnebenkosten in Folge der Agenda 2010 unter anderem auch auf den Einsparungen im Gesundheitswesen, folglich den Beschlüssen des G-BAs beruhen. Dass hier Juristen mit Fachkompetenz in Abfallwirtschaft über den Zusatznutzen von Arzneimitteln entscheiden, übrigens mit BT Drucksache 18/11427 ganz aktuell auch speziell eingreifend in die Grundrechte nach GG \xc2\xa72 von Schwerstbehinderten, und in der Folge kranke Kinder mit drittklassigen Therapien versorgt werden, ist einer der dunkelsten Punkte der jetzigen GroKo. Für diesen Punkt schäme ich mich wirklich als aufgeklärter Humanist. Man sollte solche Fakten dann auch objektiv gegenüberstellen. Ich denke, dass jede Mutter, die ein Kind mit Handicap auf die Welt bringt, zuerst den sehnlichsten Wunsch verspürt, dass dieses Kind nicht diskriminiert, sondern gerecht behandelt wird. Wie ist Ihre Meinung?'",b'Michael Hanke',2017-04-02 11:08:09,2
10154493560287749_10154499287472749,47930567748_10154493560287749,10154493560287749_10154499046827749,"b'Solange Themen wie Inklusion der Politik dienlich sind, wird das im Wahlkampf gerne aufgegriffen. Wenn dann aber die Kosten bekannt werden und unklar ist, wer das bezahlen soll, kommen sehr schnell die ""Sachzwänge"", die den Politikern die Hintertüren öffnet...'",b'Knarf Albright',2017-04-02 13:10:43,1
10154493560287749_10154499326702749,47930567748_10154493560287749,10154493560287749_10154499046827749,"b'Knarf Albright Es wird Zeit zu begreifen, dass soziale Gerechtigkeit nur durch Vermögensverzicht zu erzielen ist.'",b'Michael Hanke',2017-04-02 13:27:05,0
10154493560287749_10154499078137749,47930567748_10154493560287749,,b'Wer bezahlt das? Blödsinn!',b'Alexander Gon\xc3\xa7alves da Silva',2017-04-02 11:23:56,4
10154493560287749_10154499100282749,47930567748_10154493560287749,10154493560287749_10154499078137749,"b'Beispielsweise die 1.015.000 Dollarmillionäre in Deutschland, und die Profiteure der exorbitanten Exportüberschüsse? Ich hätte diesbezüglich viele Ideen.'",b'Michael Hanke',2017-04-02 11:34:39,1
10154493560287749_10154499110712749,47930567748_10154493560287749,10154493560287749_10154499078137749,"b'Es ist alles andere als Blödsinn, wenn künftig mehr Frauen vom gesetzlichen Mutterschutz profitieren. Er gilt mit dem neuen Gesetz auch für Studentinnen und Praktikantinnen. Besonders wichtig ist, dass wir den Mutterschutz für Mütter von Kindern mit Behinderung verbessern konnten: Sie sollen künftig die Möglichkeit haben, ihre Schutzfrist um 4 Wochen zu verlängern, auf 12 Wochen, die es heute für Früh- und Mehrlingsgeburten schon gibt. Zudem wird ein Kündigungsschutz für Frauen nach einer nach der zwölften Schwangerschaftswoche erfolgten Fehlgeburt neu eingeführt.'",b'SPD',2017-04-02 11:39:44,4
10154493560287749_10154499110792749,47930567748_10154493560287749,10154493560287749_10154499078137749,b'Oder vielleicht in den Abbau der Schulden? SPD geführte Kommunen schwimmen ja nicht gerade im Geld.',b'Alexander Gon\xc3\xa7alves da Silva',2017-04-02 11:39:49,0
10154493560287749_10154499118037749,47930567748_10154493560287749,10154493560287749_10154499078137749,b'Alexander Gon\xc3\xa7alves da Silva Das Mutterschaftsgeld wird nicht von Kommunen gezahlt. Mütter erhalten sowohl eine Zahlung ihrer Krankenkasse als auch ihres Arbeitgebers.',b'SPD',2017-04-02 11:42:33,5
10154493560287749_10154499128767749,47930567748_10154493560287749,10154493560287749_10154499078137749,"b'Das ist klar, aber es ist ein Finanzkreislauf. Wenn die Krankenkassen zahlen müssen, holen Sie sich das Geld von wem zurück?  Von den anderen Versicherten! Wenn die Arbeitgeber stärker zur Kasse gebeten werden, zahlen sie am Ende was? Weniger Steuern! Alles hängt mit allem zusammen.'",b'Alexander Gon\xc3\xa7alves da Silva',2017-04-02 11:49:08,0
10154493560287749_10154499142512749,47930567748_10154493560287749,10154493560287749_10154499078137749,"b'Alexander Gon\xc3\xa7alves da Silva Die gesetzlichen Krankenkassen haben im vergangenen Jahr ein Plus von rund 1,4 Milliarden Euro erzielt. Damit sind die Rücklagen der Krankenkassen 2016 von 14,5 Milliarden Euro auf etwa 15,9 Milliarden Euro gestiegen. Dennoch: Was hat das jetzt mit den von Ihnen genannten Kommunen zu tun?'",b'SPD',2017-04-02 11:58:14,2
