comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
10154525859700415_10154525863435415,78502295414_10154525859700415,,"b'Ich wünsche mir, dass ihr in Hessen 2018 abgewählt werdet. Eure Politik wirkt verrostet und hat keinerlei Visionen mehr. Wer bei einem Tarifabschluss ein Burkaverbot verhängt hat nichts verstanden. Billige Symbolpolitik auf Kosten der Arbeitnehmer im öffentlichen Dienst ist das schlimmste, was man tun kann. Eure Gutsherrenpolitik auf Kosten der schwarzen Null bei der inneren Sicherheit zu sparen find ich fatal.'",b'Ulrich Pfefferle',2017-04-01 05:08:23,14
10154525859700415_10154525919850415,78502295414_10154525859700415,10154525859700415_10154525863435415,"b'Die CDU guckt auch in die Zukunft - immer nur neue Schulden machen, geht halt einfach nicht. Dann lässt man im Zweifel genau die zurück, die man nicht zurücklassen will: die Kinder! [[PHOTO]]'",b'CDU',2017-04-01 05:51:08,4
10154525859700415_10154525930855415,78502295414_10154525859700415,10154525859700415_10154525863435415,"b'So viel Text und so wenig Inhalt, Ulrich'",b'Carsten Dortmund',2017-04-01 06:00:05,1
10154525859700415_10154525962875415,78502295414_10154525859700415,10154525859700415_10154525863435415,"b'Das sieht man das die CDU an die Bürgerinnen und Bürgern kümmert nämlich überhaupt nicht wir Schwerbehinderten mit Behinderung haben keine Möglichkeit einen Arbeitsplatz zu bekommen werden abgelehnt  vom Städtischen Unternehmen,stattlichen Unternehmen sowie von der Privaten Unternehmen'",b'Muharrem Suergec',2017-04-01 06:27:13,2
10154525859700415_10154525964530415,78502295414_10154525859700415,10154525859700415_10154525863435415,"b""Was die Regierung uns tut nur noch 1 Euro Job Maßnahme und Harz 4' mehr nicht""",b'Muharrem Suergec',2017-04-01 06:28:21,1
10154525859700415_10154526189360415,78502295414_10154525859700415,10154525859700415_10154525863435415,"b'Liebe CDU,da fehlt ein April, April am Ende.'",b'Oliver Marzodko',2017-04-01 08:32:11,6
10154525859700415_10154526259685415,78502295414_10154525859700415,10154525859700415_10154525863435415,b'Sie leben noch nicht so lange auf dieser Welt und ich glaube Politik ist nicht Ihre größte Leidenschaft um hier im großen Teich mit schwimmen und beurteilen zu können!',b'Claudia Clauudia Kampling Röll',2017-04-01 09:15:44,0
10154525859700415_10154526652245415,78502295414_10154525859700415,10154525859700415_10154525863435415,"b'CDU ihr guckt in die Zukunft, das ich nicht lache, ihr seht nur zu, das ihr weiter am Goldenen Tisch hocken könnt und das es euch weiterhin auf lange Sicht finanziell Gut geht. Ihr kümmert euch überhaupt nicht um die Alterarmut der Menschen, der Rentenbetrug, den ihr zusammen mit der SPD vor 20 Jahren gemeinsam eingeleitet habt, wieder zu verbessern. Aber bald sind ja Wahlen !'",b'Lex Back',2017-04-01 12:16:57,2
10154525859700415_10154526690390415,78502295414_10154525859700415,10154525859700415_10154525863435415,"b'CDU Warum schreibt ihr denn die schwarze Null? Nicht wegen eurer Politik sondern wegen der niedrigen Zinsen! 47 Millairden wurden deshalb in 2016 eingespart. Ihr betrügt und belügt die Menschen. Leider gibt es immer noch so viele ungebildete Menschen, die das nicht wissen.Bei einem durchschnittlichen Zinssatz hätte es 2016  ein sattes Minus von ca. 40 Milliarden gegeben.'",b'Hermansa Kai',2017-04-01 12:37:00,4
10154525859700415_10154526693255415,78502295414_10154525859700415,10154525859700415_10154525863435415,b'Deutscher Staat spart dank Niedrigzinsen 240 Milliarden Euro!!  Hier einmal ein paar Zahlen. Die Sparer zahlen es! http://www.spiegel.de/wirtschaft/soziales/niedrigzinsen-deutscher-staat-hat-240-milliarden-euro-gespart-a-1129758.html',b'Hermansa Kai',2017-04-01 12:38:04,3
10154525859700415_10154527049390415,78502295414_10154525859700415,10154525859700415_10154525863435415,"b'CDU Wir brauchen eine Entlastung der Verwaltungskosten und sozialer muss es hier werden. Wieso kommt Bürgergeld nicht? Wann kommt wieder als Thema. Dieses Konzept war sehr gut, besser als von der SPD. Dies hätte früher eingeführt werden müssen. Die Agenda 2010 ist schlimmste was es gibt. Nicht zu vergessen 6 Millionen Menschen beziehen Hartz 4. Dies ist normal, weil es logisch ist, man kann nicht jeden ins Job stecken, ohne nie wieder Hartz 4 zu nutzen. Wir brauchen eine Unterstützung, eine Sozial Revolution, ein einfaches system'",b'Janine Ulm',2017-04-01 15:44:21,0
10154525859700415_10154528019455415,78502295414_10154525859700415,10154525859700415_10154525863435415,"b'Genau darum sind für Bestandserwerbsminderungsrenter nicht mal 2,8 Mrd vorhanden damit die auch besser gestellt werden wie Neu-EU Rentner ab 2018. Aber für die neuen Fachkräfte die ab 2015 zu uns kommen da sind jede Menge Mrd vorhanden.  Und der 800 Mrd teure Freundschaftsdienst an die EU ja da ist auch jede Menge Geld da. Hoffentlich sauft die Union bei der Bundestagswahl so richtig ab  http://m.focus.de/finanzen/news/schulden-in-der-euro-zone-800-milliarden-blanko-deutschlands-teurer-freundschaftsdienst-an-europa_id_6664305.html?client=safari'",b'Markus Mittwoch',2017-04-02 01:41:27,0
10154525859700415_10154528914445415,78502295414_10154525859700415,10154525859700415_10154525863435415,"b'CDU Das meiste Geld geht für Flüchtlinge drauf, also das Steuerzahlende Volk hat nichts vom Überschuss. unsere Kinder Enkelkinder u.s.w werden diesen Irrsinn in Zukunft bezahlen müssen.......'",b'Angelika Michel',2017-04-02 10:49:08,2
10154525859700415_10154529090515415,78502295414_10154525859700415,10154525859700415_10154525863435415,"b'https://www.youtube.com/watch?v=8ZdL3n_dzlw - TOP!! - die Patry  hat`s voll drauf, partetinterne Streitigkeiten sind völlig normal, so funktioniert Politik und nicht so Volksverarche wie bei den korrupten Alrparteien. Wer mit der AFD ein Problem hat soll halt die Linke oder Deutsche Mitte wählen (Kleinstparteien mal ausgenommen). Aber bitte nie wieder CDU / CSU, SPD; FDP und Grüne - eine Politmafia die sich gegenseitig decken um weiter an den von zwangsabgepressten Steuergeld subventionierten Futtertrögen zu verweilen.'",b'Christian Teuchler',2017-04-02 12:26:36,0
10154525859700415_10154525869630415,78502295414_10154525859700415,,"b'CDU / CSU steht für Korruption, Steuerhinterziehung, Geldwäsche,Ausbeutung, Mietwucher, Lohndumping, , Kinderarmut , Altersarmut ,,,, CDU / CSU asozial und Antichristlich....  das Einzige für was sich die CDU / CSU stark macht ist Sozialhilfe für Reiche, Wohlhabende, besser Verdienende in Form von Steuersparmodellen....  Kinderschänder aus der kath. Kirche laufe frei rum,  di CDU / CSU wird mit Sicherheit nicht von Christen gewählt--... höchstens von Katholiken.... CDU / CSU die schwarze Pest'",b'Detlev Haufe',2017-04-01 05:12:29,19
10154525859700415_10154525872860415,78502295414_10154525859700415,,b'2. Wer die Ehefueralle blockiert und diese Menschen weiterhin diskriminiert hat sowieso kein Anrecht mehr ein einer Regierung zu sein. Ihr seid weiterhin weiter im 19. Jahrundert unterwegs.',b'Ulrich Pfefferle',2017-04-01 05:14:41,1
10154525859700415_10154528612000415,78502295414_10154525859700415,10154525859700415_10154525872860415,"b'So ist es! Merkels Homophobie bzw. das der Christlichen Union ist einfach nur widerlich  Und ich hab noch nie verstanden, was Christen ""weggenommen"" wenn das Eheverbot für Homosexuelle aufgehoben wird! Einfach nur widerlich diese christliche Hetze gegen Homosexuelle'",b'Jayden Visser',2017-04-02 08:05:12,0
10154525859700415_10154525879040415,78502295414_10154525859700415,,"b'Lest hier, warum die CDU womöglich bald im Bund in der Opposition sein wird - obwohl sie stärkste Partei wird! http://de.blastingnews.com/politik/2017/04/bundestagswahl-warum-cdu-linkspartei-und-afd-im-selben-boot-sitzen-001595231.html'",b'Robin Classen',2017-04-01 05:18:48,2
10154525859700415_10154525884305415,78502295414_10154525859700415,,b'Merkels rotrotgrüne CDU wird immer mehr Stimmen an die AfD verlieren!',b'Sven Hansen',2017-04-01 05:21:05,35
10154525859700415_10154525935380415,78502295414_10154525859700415,10154525859700415_10154525884305415,b'Also mit den jüngsten Umfragen deckt sich das nicht... [[ANIMATED_IMAGE_SHARE]]',b'CDU',2017-04-01 06:03:26,6
10154525859700415_10154526025630415,78502295414_10154525859700415,10154525859700415_10154525884305415,b' [[STICKER]]',b'Marina Oberem',2017-04-01 07:11:11,0
10154525859700415_10154526027540415,78502295414_10154525859700415,10154525859700415_10154525884305415,b'Der beste 1 April Witz .',b'Marina Oberem',2017-04-01 07:11:38,1
10154525859700415_10154526058415415,78502295414_10154525859700415,10154525859700415_10154525884305415,b'Die Umfrage werden meistens politisch korrekt geführt! Die AfD hatte immer mehr Prozente erreicht wie die manipulierten Umfragen ergeben haben! Fakt ist die rotrotgrüne CDU wird wegen der Maut noch mehr Stimmen verlieren und die CDU wird die Asylflut und rechtswidrige Massenzuwanderung über Asyl bis September nicht mehr glaubhaft ändern und das spricht für mehr Stimmen für die AfD! Ich kenne viele Stammwähler der CDU die nun AfD Wähler sind und bleiben werden bis Merkel und ihre Paladine endlich zurückgetreten wurden und die CDU endlich zu ihren konservativen Wurzel findet und die Interessen Deutschlands und der Deutschen vertritt und einen harten Kurs gegen die EU Diktatur einschlägt!  Sogar im Rotgrün verseuchten und bunten NRW und Niedersachsen und SW wird die AfD über 5% kommen!',b'Sven Hansen',2017-04-01 07:23:20,11
10154525859700415_10154526104415415,78502295414_10154525859700415,10154525859700415_10154525884305415,b' [[STICKER]]',b'Thomas Meeuw',2017-04-01 07:46:36,1
10154525859700415_10154526305745415,78502295414_10154525859700415,10154525859700415_10154525884305415,b'Die Saarlandwahl hat etwas anderes gezeigt. Man kann ja träumen.',b'Wolfram Schmorl',2017-04-01 09:44:44,1
10154525859700415_10154526407835415,78502295414_10154525859700415,10154525859700415_10154525884305415,"b'Sie haben wohl übersehen,  was CDU heißt. Mir ist das Christliche sehr wichtig!  Das bedeutet eben nicht das, was Sie bzw die AfD wollen,  nur egoistisch die angeblich deutschen Interessen verfolgen und auf Flüchtlinge herunterschauen. Deutschland in Europa ist mehr  '",b'Rosemarie Martin',2017-04-01 10:31:15,2
10154525859700415_10154526728795415,78502295414_10154525859700415,10154525859700415_10154525884305415,"b'Wenns danach ginge,dann hätte Hillary Clinton Ihrer Parteivorsitzenden auch schön die Hand gegeben im Weißen Haus.Leider wars der schlimme Donald und Wunschkonzert war gestern.'",b'Sabine Weber-Graeff',2017-04-01 12:56:29,4
10154525859700415_10154527021715415,78502295414_10154525859700415,10154525859700415_10154525884305415,b'rotrotgrüne CDU  ? Da kennt sich ja jemand richtig aus. [[STICKER]]',b'Thomas Meeuw',2017-04-01 15:27:58,0
10154525859700415_10154527035315415,78502295414_10154525859700415,10154525859700415_10154525884305415,b'CDU Sich selbst das Hausrecht für memes beanspruchen? Frechheit',b'Simon Bolthausen',2017-04-01 15:35:41,0
10154525859700415_10154527035700415,78502295414_10154525859700415,10154525859700415_10154525884305415,b'CDU Erinnert stark an die Umfragen bezüglich eines Sieges von Hillary Clinton bei der damaligen Wahl :D :D',b'Simon Bolthausen',2017-04-01 15:36:07,1
10154525859700415_10154528146320415,78502295414_10154525859700415,10154525859700415_10154525884305415,b'https://www.welt.de/politik/deutschland/article163330272/Kommunen-rechnen-mit-vier-Milliarden-Euro-fuer-Unbegleitete.html#Comments  So darf es nicht weitergehen !!',b'Karo Harpe',2017-04-02 02:46:02,1
10154525859700415_10154528682415415,78502295414_10154525859700415,10154525859700415_10154525884305415,b'Nun ja CDU Arroganz und Ignoranz sind unzertrennliche Zwillinge und zum Glück kommt der Hochmut immer vor dem garantierten fall..',b'Andi Sel',2017-04-02 08:54:23,2
10154525859700415_10154529447795415,78502295414_10154525859700415,10154525859700415_10154525884305415,b'Rosemarie Martin [[STICKER]]',b'Claudia Vogel',2017-04-02 15:30:39,0
10154525859700415_10154530490050415,78502295414_10154525859700415,10154525859700415_10154525884305415,"b'Die Alte lässt sich eh kaum noch öffentlich blicken - das Problem: Sie kann mittlerweile nur noch in ""geprüfter"" Umgebung mit eingeladenen Gästen auftreten, die auf der Gästeliste stehen und zuvor einem eingehenden Background-Check ausgesetzt waren. Allein, um zu vermeiden, dass es so endet wie im folgenden Video. Deswegen muss jetzt - gerade im Wahlkampf - immer alles abgesperrt sein, bevor die unbeliebteste Politikerin des Landes die Bühne betritt: http://www.youtube.com/watch?v=shcMdBhFZLI'",b'Günther Heyne',2017-04-03 02:11:12,3
10154525859700415_10154525899030415,78502295414_10154525859700415,,"b'""Mit mir wird es keine Maut geben..."" Merkel lügt und mit ihr diese Lügengruppe CDU. Weg mit dieser Partei aus den Landtagen und dem Bundestag.'",b'Wilfried G. Schmitt',2017-04-01 05:33:22,17
10154525859700415_10154525908245415,78502295414_10154525859700415,,"b'um eine ausgeglichen Handelsbilanz zu bekommen müßten bei uns die Tariflöhne 30 % höher sein und der Mindestlohn bei mindestens 15 Euro....  Handelsüberschuß heist doch nur Hass auf Deutschland .... Ende der EU,,, verschuldung unsere Nachbarn.... Verarmung der Gesellschaft'",b'Detlev Haufe',2017-04-01 05:40:21,5
10154525859700415_10154525945560415,78502295414_10154525859700415,,b'Billigt die CDU diese deutschen Grundsätze?: https://estomiles.wordpress.com/2017/02/20/grundsaetze-der-deutschen/',b'Gunther M. Michel',2017-04-01 06:11:18,0
10154525859700415_10154525953960415,78502295414_10154525859700415,,b'Das Volk sollte langsam wissen das ihr es nur verarscht ! Warum macht ihr keine Werbung damit noch mehr Geld in Europa zu stecken. Noch mehr afrikanischen Küsten zu beschützen. Noch mehr Förderung für Flüchtlinge bereit zu stellen. Noch mehr Geld in die Bundeswehr stecken die niemals mehr Deutschland in Deutschland verteidigen wird. Aber die Wahrheit will keiner hören . Von daher träumt einfach weiter',b'Patrick Schneider',2017-04-01 06:19:29,23
10154525859700415_10154527040185415,78502295414_10154525859700415,10154525859700415_10154525953960415,b'Mergl muss weg!',b'Simon Bolthausen',2017-04-01 15:39:35,1
10154525859700415_10154525981775415,78502295414_10154525859700415,,"b'CDU CSU und die SPD haben uns Schwerbehinderten Arbeitslosen ,Langzeitarbeitslosen genug geholfen ihr seid nicht Wählbar'",b'Muharrem Suergec',2017-04-01 06:40:18,5
10154525859700415_10154525997520415,78502295414_10154525859700415,,"b'Ich hatte auf eine Äußerung bezüglich meiner Fragen gehofft. Ist der Sachverhalt zu kompliziert respektive fühlen Sie sich überfordert? Fragen Sie ruhig, wenn Unklarheiten bestehen.'",b'Michael Hanke',2017-04-01 06:53:03,2
10154525859700415_10154529377700415,78502295414_10154525859700415,10154525859700415_10154525997520415,"b'Nee, aber du quasselst einfachen nur Stuss.'",b'Andreas Schubert',2017-04-02 14:57:39,0
10154525859700415_10154529381465415,78502295414_10154525859700415,10154525859700415_10154525997520415,"b'Andreas Schubert  Wenn Sie Ihre Einwände sachlich präzisieren, könnte ich meine Äußerungen gerne dahingehend überprüfen. Also was bemängeln Sie an meinen Aussagen konkret?'",b'Michael Hanke',2017-04-02 15:00:12,0
