 comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
1704246609591770_1716490951700669,111956985487415_1704246609591770,,"b'whats yer plans for the suicide rate in Derry, considering Hurts not gonna be there as much as they were( no fault of there own)?'",b'Lee Kevin Vincent Hegarty',2017-04-09 13:23:52,0
1704185809597850_1704196539596777,111956985487415_1704185809597850,,b'Any photographs of the whole bonfire before it was lit. Would show if any flags or images were on it. In that case it would be a hate crime not just an offence',b'Noel Canavan',2017-03-30 05:55:06,0
1704185809597850_1704200526263045,111956985487415_1704185809597850,,b'The psni should be looking st this too right a hate crime not a good example',b'John Mcbride',2017-03-30 06:02:35,1
1703395843010180_1703399673009797,111956985487415_1703395843010180,,b'Maith thu',"b""Lorraine O'Kane""",2017-03-29 10:26:48,1
1703395843010180_1703401196342978,111956985487415_1703395843010180,,b'There was no urgency about this before the Executive collapsed. The SDLP were in government in NI for many years and did nothing about an Irish Language Act.',b'Nigel P Cooke',2017-03-29 10:29:07,1
1703395843010180_1703448869671544,111956985487415_1703395843010180,,b'T bu don SDLP as ucht na h- a rinne siad ar son muinntear na h- agus br seans a bheit agam p bheag a glachadh annsin.',b'Marcus Duignan',2017-03-29 11:42:44,1
1703322013017563_1703393683010396,111956985487415_1703322013017563,,"b'I pray that this can be achieved. All pulling from the same side. Great article in today\'s Belfast Telegraph, and I quote ""For Stormont to function it requires a sense that divisions over the past are a repeated dysfunction"". By Prof Peter Shirlow'",b'Julia Madden',2017-03-29 10:19:25,0
1703322013017563_1703448786338219,111956985487415_1703322013017563,,b'You must work with Sinn Fein to pull Alliance out of their shell and into a coalition. Ireland needs its reunification yesterday and there is finally a chance for it',b'Eric Low',2017-03-29 11:42:33,1
1703322013017563_1703492109667220,111956985487415_1703322013017563,,"b""I'm a member of the UK Labour Party living in Northern Ireland. I agree with your broad Brexit strategy, supported my local SDLP candidate in a small way in recent campaigns but also disagree with some SDLP policy particularly on reproductive rights and also would like the Labour Party to stand candidates here in future. I know technically I can be a member of both parties but are me, and others in my position, really welcome? This is a genuine question btw rather than trolling exercise.""",b'Steve Andrews',2017-03-29 12:50:36,0
1703322013017563_1703548256328272,111956985487415_1703322013017563,,"b'It really would help if there was a government in place to present a formal written and sovereign position as that of the SDLP and Northern Ireland, Dublin 100% took and adopted as its own the SDLP lead in 1985 and it delivered peace in roughly the same timeframe as Brexit will take to complete. Same PES jersey required to drive the Green view on the greatest challenge since.'",b'Paul Meade',2017-03-29 14:02:40,0
1702310656452032_1702397356443362,111956985487415_1702310656452032,,"b""The British government said Northern Ireland could return to the EU if the people voted for a United Ireland. Only problem is it wouldn't be called Northern Ireland any more so in actual fact Northern Ireland doesn't have a direct path back to the EU. Confused? I am.""",b'Samuel Mccallion',2017-03-28 11:17:47,2
1702310656452032_1702812626401835,111956985487415_1702310656452032,1702310656452032_1702397356443362,"b""I'm not confused as I never recognised the term Northern Ireland in the first place. My mother was ten when the border appeared. Her advice was to ignore it, that it wouldn't be there for long.""",b'Siubh Dubh ',2017-03-28 19:44:22,0
1702310656452032_1702499463099818,111956985487415_1702310656452032,,b'If Scotland apply to join the Irish Republic they can have a direct route back to the EU as well :-)',"b""Desmond O'Toole""",2017-03-28 13:29:14,0
1702310656452032_1702586663091098,111956985487415_1702310656452032,1702310656452032_1702499463099818,b'Scotland is a country in its own right.',b'Matt Garmonsway',2017-03-28 15:09:55,0
1702310656452032_1702595976423500,111956985487415_1702310656452032,1702310656452032_1702499463099818,"b'What do you think ""Scot"" means?'","b""Desmond O'Toole""",2017-03-28 15:21:18,1
1702310656452032_1702810129735418,111956985487415_1702310656452032,,"b'As it stands, the people of the north of our country have the right to Irish citizenship, British citizenship, or both. How would it work if the North were to become part of a federal Irish state...a united Ireland with a degree of autonomy for the North...within the EU, and those citizens who consider themselves to be British had rights to hold a British Passport and other particularly British Benefits ?'",b'Siubh Dubh ',2017-03-28 19:41:36,2
1702128356470262_1702143753135389,111956985487415_1702128356470262,,"b'Yeah, Ireland clearly matters to Mrs Maybe.'",b'Marcus Duignan',2017-03-28 05:07:14,1
1702128356470262_1702217026461395,111956985487415_1702128356470262,,b'Obviously peace is less important to some than the perceived sanctity of Sunday. Warped interpretation of scripture. Scribes and pharasies me thinks. Mrs May is running scared to Scotland. She knows the writing is on the wall for the UK and a compliant and impotent British Labour Party makes it all the worse.',b'Dermot Carey',2017-03-28 07:07:16,0
1702128356470262_1702231426459955,111956985487415_1702128356470262,,b'dry your eyes and put the balme where it belongs- the intransigence of sin fein',b'Maia Bond',2017-03-28 07:28:43,0
1702128356470262_1702309223118842,111956985487415_1702128356470262,1702128356470262_1702231426459955,"b""Sorry you seem to forget this election was because of the dup! And no one was blaming may he said she doesn't give a fuck which is true!""",b'Jamie Shields',2017-03-28 09:09:53,2
1702128356470262_1703196613030103,111956985487415_1702128356470262,1702128356470262_1702231426459955,b'Intransigence? Like DUP on everything. Getting the DUP to budge on anything is surely like squeezing blood from a stone',b'Patrick Dobbin',2017-03-29 05:47:40,0
1702128356470262_1703449323004832,111956985487415_1702128356470262,1702128356470262_1702231426459955,"b'The unionist parties, especially DUP, are so foolhardy. Screw them and lets try and get alliance on board'",b'Eric Low',2017-03-29 11:43:29,0
1702128356470262_1702318746451223,111956985487415_1702128356470262,,b'Amazed she made it past the M42 without having a severe panic attack',b'Paul Meade',2017-03-28 09:23:24,1
1702128356470262_1702384353111329,111956985487415_1702128356470262,,b'Sam Fletcher',b'Andrew Fletcher',2017-03-28 10:58:50,0
1702128356470262_1702600829756348,111956985487415_1702128356470262,,b'The people elected to the assembly are the ones who should sort it out.',b'Adrian Ward',2017-03-28 15:29:20,0
1702128356470262_1702708426412255,111956985487415_1702128356470262,,b'Was in Belfast today Sein fein completely ruling the rust SDLP get your finger out',b'Brendan Colfer',2017-03-28 17:18:10,0
1695844380431993_1695884963761268,111956985487415_1695844380431993,,"b'Very fine words, Colum.'",b'Liam McDaid',2017-03-22 11:06:45,0
1695844380431993_1696046683745096,111956985487415_1695844380431993,,b'Very wise words. Well said.',b'George Brunswick',2017-03-22 14:32:47,1
1695844380431993_1696651660351265,111956985487415_1695844380431993,,"b""Let's hope sdlp get there act together""",b'Mark Fionda',2017-03-23 04:23:22,0
1694943537188744_1695033433846421,111956985487415_1694943537188744,,b'Well done',b'Phil McKeown',2017-03-21 16:19:00,0
1694943537188744_1695539167129181,111956985487415_1694943537188744,,b'a great tribute',b' ',2017-03-22 03:49:29,1
1694451577237940_1694465203903244,111956985487415_1694451577237940,,b'He will be a big loss.',b'Margaret Farren',2017-03-21 02:36:51,0
1694451577237940_1694512403898524,111956985487415_1694451577237940,,b'Big loss',b'Denise McConville',2017-03-21 04:02:44,0
1694451577237940_1694576847225413,111956985487415_1694451577237940,,"b""Today is a sad day for Irish Republicanism and all who are associated with the movement. I am deeply and personally saddned to learn of Martin's passing this morning and join with the city of Derry and the North with offering condolences to his wife, Bernie and his children. Martin was instrumental in bringing about peace to these lands and cooperating with former enemies and opponents with a mature and responsible attitude. His contribution to our society today is immense and may his positive legacy as a republican and a pure gentleman be long remembered. Rest in peace""",b'Luke Doherty',2017-03-21 05:46:15,2
1694451577237940_1694965783853186,111956985487415_1694451577237940,,"b'It was the innocents that he targeted I remember, especially the 20 year old girl who managed to tell her father that she loved him as she lay dying in the Enniskillen aftermath.'",b'Robert Allen',2017-03-21 14:46:20,0
1689644544385310_1689680557715042,111956985487415_1689644544385310,,b'none of them will die in doorways the epidemic is rife',b'Tom Townsend',2017-03-16 09:31:24,1
1689644544385310_1689698457713252,111956985487415_1689644544385310,,b'That is a lot of money considering they have more than a few palaces...',b'Patrick Dobbin',2017-03-16 09:56:01,0
1689644544385310_1689718084377956,111956985487415_1689644544385310,,"b""At the risk of sounding like a royalist, it's still a wee bit cheaper than Arlene's RHI scheme! """,b'Nicholas McAtamney',2017-03-16 10:22:48,1
1689644544385310_1689725111043920,111956985487415_1689644544385310,,"b""They're having a laugh at us,""",b'Siubh Dubh ',2017-03-16 10:34:59,0
1689644544385310_1689726191043812,111956985487415_1689644544385310,,b'Money for ordinary people before these undemocratic elitist clowns.',b'Ronan Harris',2017-03-16 10:37:01,0
1689644544385310_1689756201040811,111956985487415_1689644544385310,,"b""How can Jeremy Corbyn abstain. That's spineless, very disappointed that the uk Labour Party would agree to that!!well done SDLP. Showing up and at least being counted. Unlike some. """,b'Julia Madden',2017-03-16 11:10:26,3
1689644544385310_1689778394371925,111956985487415_1689644544385310,,b'The Conservatives are planning to re-commission a royal yacht just for good measure while people provide for their families from food banks!',b'Brendan Morgan',2017-03-16 11:42:38,0
1689644544385310_1689811621035269,111956985487415_1689644544385310,,"b""Why can't she pay for her own palace with her own money """,b'Dermot Carey',2017-03-16 12:32:30,0
1689644544385310_1689838714365893,111956985487415_1689644544385310,,"b""Sinn Fein didn't vote against this""",b'Andrew Campbell',2017-03-16 13:12:50,0
1689644544385310_1689854494364315,111956985487415_1689644544385310,,b'Time to wise up & let them pay for it themselves',b'Peter Devlin',2017-03-16 13:36:02,0
1689644544385310_1690450807638017,111956985487415_1689644544385310,,b'So should they let it tumble down instead? Rather than spend a fraction of the price of renovating Westminster ... maintenance of historic buildings costs a fortune everywhere ... no reason why families and building cannot both have money spent on them ... simply collect the taxes big business stuffs down the corporate sofa ...',b'Gerry Curran',2017-03-17 04:27:08,1
1689644544385310_1690595607623537,111956985487415_1689644544385310,,b'Money well spent!',b'James Bendell',2017-03-17 08:04:24,0
1689644544385310_1690737600942671,111956985487415_1689644544385310,,"b'Should Michael D Higgins residence the an Uachtar ,be sold off to help fund new housing and Public services in the Republic of Ireland ??'",b'James Young',2017-03-17 11:00:45,0
1689644544385310_1691090380907393,111956985487415_1689644544385310,,"b'You should have made an agreement with Nesbitt before the election , now we have themuns uns'",b'Roger Mcburney',2017-03-17 18:47:56,0
1689644544385310_1691092220907209,111956985487415_1689644544385310,,b'*usuns.*',b'Roger Mcburney',2017-03-17 18:50:28,0
1689507521065679_1689535627729535,111956985487415_1689507521065679,,b'Well done! Totally agree.',b'Siubh Dubh ',2017-03-16 06:19:50,1
1689507521065679_1689542547728843,111956985487415_1689507521065679,,b'Well done Colum',"b""Sean O'Hare""",2017-03-16 06:30:46,1
1689507521065679_1689840081032423,111956985487415_1689507521065679,,b'viva la trump',b'Maia Bond',2017-03-16 13:15:56,0
1689507521065679_1690044684345296,111956985487415_1689507521065679,,b' ',"b""Helena Dallat O'Driscoll""",2017-03-16 18:01:46,1
1689507521065679_1691513987531699,111956985487415_1689507521065679,,"b'""Equality and respect"", when SDLP use Sinn F \'s words'",b'Morgan Murphy',2017-03-18 06:41:45,2
1689507521065679_1691601994189565,111956985487415_1689507521065679,1689507521065679_1691513987531699,b'Pretty sure the words were in common use before Sinn Fein used them.',b'Charlie Goan',2017-03-18 08:29:12,5
1689507521065679_1691603440856087,111956985487415_1689507521065679,1689507521065679_1691513987531699,"b""Pretty sure it's Sinn F 's tagline this year. Charlie Goan""",b'Morgan Murphy',2017-03-18 08:31:06,0
1689507521065679_1691633427519755,111956985487415_1689507521065679,1689507521065679_1691513987531699,"b""Morgan Murphy quite funny really when Sinn Fein think they have copyright over the use of certain words. There can never be a politicisation or monopolisation of equality and respect. They should be above political bargaining and it's sad that Sinn Fein think they have ownership of these important issues.""",b'Charlie Goan',2017-03-18 09:00:18,1
1689507521065679_1691636084186156,111956985487415_1689507521065679,1689507521065679_1691513987531699,"b""Sorry when have Sinn F once claimed they own these words?? You seem to be rather annoyed. Last time I checked more people voted in favour of Sinn F than SDLP and that's because they can trust a party like Sinn F with these issues.""",b'Morgan Murphy',2017-03-18 09:04:01,0
1689088011107630_1689098137773284,111956985487415_1689088011107630,,b'He has a smug patronising grin on his face.',b'Dermot Carey',2017-03-15 18:39:24,1
1689088011107630_1689105904439174,111956985487415_1689088011107630,,"b""SHE'S BACK!""",b'Fergus Quinn',2017-03-15 18:51:29,4
1689088011107630_1689111687771929,111956985487415_1689088011107630,,b'Good woman well done',"b""Margaret O'Gorman""",2017-03-15 18:57:07,4
1689088011107630_1689119944437770,111956985487415_1689088011107630,,b'Well done Dolores! U tell him as it is!',b'Ursula Donnelly',2017-03-15 19:07:13,3
1689088011107630_1689127917770306,111956985487415_1689088011107630,,b'Good on her.',b'James Hyndman',2017-03-15 19:20:11,2
1689088011107630_1689261021090329,111956985487415_1689088011107630,,b'Poots talking complete bollocks again. Does he scribble his notes down from Google?',b'Paul Cusack',2017-03-15 22:22:03,1
1689088011107630_1689435291072902,111956985487415_1689088011107630,,b'Yes Poots is a out of touch.',b'George Brunswick',2017-03-16 03:41:02,0
1689088011107630_1689436724406092,111956985487415_1689088011107630,,"b""What I don't understand is why the DUP always back up the Tories and their supporters blindly follow them. It's like turkeys voting for Christmas. Why will the DUP not admit that poverty, suicide and unemployment exists in their community too.""",b'Pauline Lynch',2017-03-16 03:44:19,0
1689088011107630_1689437217739376,111956985487415_1689088011107630,,b'smug prick!',"b""Neil 'Hams' Hamilton""",2017-03-16 03:45:47,0
1689088011107630_1689595921056839,111956985487415_1689088011107630,,b'Welcome back Dolores Kelly you always could hold your own in a debate well done xx',b'Ann Nelson',2017-03-16 07:55:28,1
1689088011107630_1689623411054090,111956985487415_1689088011107630,,b'Well done Dolores the reason why the unemployment is down because people our on zero hour contacts',b'John Creaney',2017-03-16 08:38:56,1
1689088011107630_1689711924378572,111956985487415_1689088011107630,,b'Go on dolores !!',b'Kirsty Ciorstaidh Lee MagUiginn',2017-03-16 10:14:15,1
1689088011107630_1689714471044984,111956985487415_1689088011107630,,"b'Fair play to Dolores, sdlp is feeling really emboldened again. Dogs in the street know Dolores is 100% on this and the likes of Poots and McCausland are living in a fairytale, though the latter had a rude awakening in the polls.'",b'Patrick Dobbin',2017-03-16 10:17:48,0
1689088011107630_1689727307710367,111956985487415_1689088011107630,,b' [[STICKER]]',b'Louise Rogers',2017-03-16 10:38:24,0
1688696084480156_1688832637799834,111956985487415_1688696084480156,,"b'When it comes down to it, this idiot, Davis, really is an expert in nothing!'",b'Geraldine Gibson',2017-03-15 12:54:08,0
1688696084480156_1688840971132334,111956985487415_1688696084480156,,"b'Overpaid and useless to boot, talk about being responsible, the mind boggles'",b'Olive Brownrigg',2017-03-15 13:06:51,1
1688696084480156_1688985364451228,111956985487415_1688696084480156,,"b""You know he hadn't. I expect that reading the Good Friday agreement would be well down the 'to do' list of most of the current members of government.""",b'Siubh Dubh ',2017-03-15 15:49:04,0
1686458341370597_1686548708028227,111956985487415_1686458341370597,,b'its always one way for the pro-euros . .what about British citizens in Europe? what about pressurisng the EU to defend rights of the Brits over there?no one seems to give a toss about them',b'Maia Bond',2017-03-13 14:16:39,0
1681038921912539_1681091518573946,111956985487415_1681038921912539,,"b'Never heard the legacy cases mentioned throughout the last election campaign from the SDLP, bit disappointing.'",b'Ann McDevitt',2017-03-10 10:46:53,0
1678808232135608_1679365202079911,111956985487415_1678808232135608,,"b""SDLP leader talks sense - nothing new in that. SF/DUP don't listen - nothing new in that. Never mind the debate, they say, let's get on with the fight & the carve-up. Power & control are the SF/DUP motivators rather than good governance.""",b'Harry Sharkey',2017-03-09 03:35:18,3
1672156359467462_1672364542779977,111956985487415_1672156359467462,,b' ',b'Martin Molloy',2017-03-02 19:02:55,0
1671787039504394_1671792109503887,111956985487415_1671787039504394,,b'I just wish we had an SDLP in Scotland.',b'John Maclennan',2017-03-02 07:09:42,2
1671787039504394_1671972539485844,111956985487415_1671787039504394,1671787039504394_1671792109503887,"b""You do, they're called blue Labour or red Tories (delete as appropriate)""",b'P Murchadhfinn',2017-03-02 11:19:24,0
1671787039504394_1671835989499499,111956985487415_1671787039504394,,b'best of wishes today...',b'Gunter Vernon',2017-03-02 08:16:22,2
1671754142841017_1671792182837213,111956985487415_1671754142841017,,b'Good luck for today.',b'Francis Fox',2017-03-02 07:09:51,0
1671698136179951_1672139522802479,111956985487415_1671698136179951,,b'I voted u',b'Ciaran Mc Glone',2017-03-02 15:08:07,0
1671215336228231_1671218409561257,111956985487415_1671215336228231,,b'Colum to win ',b'Mary Agnes Mccarney',2017-03-01 15:33:36,1
1671215336228231_1671234692892962,111956985487415_1671215336228231,,b'Colum to win',b'Ciaran Mc Glone',2017-03-01 15:58:16,0
1671215336228231_1671272692889162,111956985487415_1671215336228231,,b'Without a doubt an extremely confident speaker.',b'Neil Booth',2017-03-01 16:56:26,1
1671215336228231_1671283532888078,111956985487415_1671215336228231,,b'I wish you well Margaret Anne Mckillop because i know you work hard love',b'Anita Cavlan',2017-03-01 17:13:09,0
1671215336228231_1671351196214645,111956985487415_1671215336228231,,b'Big day',b'Martin Molloy',2017-03-01 19:05:50,0
1671215336228231_1671397746209990,111956985487415_1671215336228231,,b'Please from someone who has no vote. Lives in the UK who has no connection with Ireland except a keen interest in Irish history and considers Derry as a spiritual home - vote for change. No Direct Rule. No hard border control - no going back! Good Luck to all you forward thinking people.',b'Guy Metcalf',2017-03-01 20:21:45,2
1671215336228231_1671653996184365,111956985487415_1671215336228231,,"b""I honestly hope the sdlp are wiped out they have a nerve looking to do a deal with the unionist party who some of saying they wouldn't give the sdlp the second perferance vote the last election the unionist party done a deal with the dup to keep the nationalist from winning fermanagh south Tyrone so a vote for sdlp is a vote for the unionist party who change so often just to get into power please don't be conned into falling for their false promises""",b'Brian Boyle',2017-03-02 03:56:43,7
