comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
1255083824561246_1255085194561109,148726998530273_1255083824561246,,b'That makes it a war crime then.',b'Stevan ',2017-04-11 04:03:59,8
1255083824561246_1255091587893803,148726998530273_1255083824561246,,b'Stevanit was and still is my family are still fighting for the truth about my brothers killing 16 years ago.',b'John Lawlor',2017-04-11 04:09:39,2
1255083824561246_1255092807893681,148726998530273_1255083824561246,,b'This was an un armed child. No war crime. Just a foreign occupier committing murder. Again!!',b'Sean McGovern',2017-04-11 04:10:11,21
1255083824561246_1255095414560087,148726998530273_1255083824561246,,b'Rip',b'Michael Connolly',2017-04-11 04:13:25,0
1255083824561246_1255096217893340,148726998530273_1255083824561246,,"b""Why did the world not hear about this clearly if the person responsible hadn't died we still wouldn't""",b'Deirdre Gaughan',2017-04-11 04:15:13,7
1255083824561246_1255099631226332,148726998530273_1255083824561246,,"b""My grandfathers brother was shot in Galway at 13 years of age. An accident! I wasn't only in the north of Ireland...""",b'Sean Pol Mac Seain',2017-04-11 04:22:25,2
1255083824561246_1255178471218448,148726998530273_1255083824561246,1255083824561246_1255099631226332,"b""Konit wasn't Sean who shot him""","b""Kevin O'neill""",2017-04-11 05:33:19,0
1255083824561246_1255101024559526,148726998530273_1255083824561246,,b'Rest in peace young man',b'Peter Kelly',2017-04-11 04:25:48,0
1255083824561246_1255101701226125,148726998530273_1255083824561246,,b'RIP',b'Patricia Dwyer',2017-04-11 04:26:33,0
1255083824561246_1255102687892693,148726998530273_1255083824561246,,b'Sad for the boy. Sad for the family. Sad for the country. Move on. Peace.',b'Karl Ruttle',2017-04-11 04:27:18,1
1255083824561246_1255108634558765,148726998530273_1255083824561246,,b'How long will it take the children of Palestine to get the same justice. Thanks to Martin and others like him we have peace in our country now but the world is not a peaceful place',b'Cathal Daly',2017-04-11 04:32:34,6
1255083824561246_1255108817892080,148726998530273_1255083824561246,,b'RIP',b'Jim Williams',2017-04-11 04:32:59,0
1255083824561246_1255110251225270,148726998530273_1255083824561246,,b'TG we had people like Martin mc Guinness to stand up for his people .',b'Betty Browne',2017-04-11 04:34:16,1
1255083824561246_1255112174558411,148726998530273_1255083824561246,,b'They were killing innocent people all over the world for the last 800 years and got away with it .Roger casement hilited it and got himself hanged',b'Pat Malone',2017-04-11 04:38:26,0
1255083824561246_1255115611224734,148726998530273_1255083824561246,,b'Very sad',b'Breid McHugh',2017-04-11 04:42:30,0
1255083824561246_1255166744552954,148726998530273_1255083824561246,,b'It may take an age but the truth has a way of shining through. R.I.P. Young man.',b'Terrance Maloney',2017-04-11 05:17:36,1
1255083824561246_1255166884552940,148726998530273_1255083824561246,,b'Shared.',"b""Paul O'Brollaghain""",2017-04-11 05:17:57,0
1255083824561246_1255168231219472,148726998530273_1255083824561246,,b'Niall Kenny',b'Liam Cannon',2017-04-11 05:21:21,0
1255083824561246_1255175751218720,148726998530273_1255083824561246,,b'Cameron Price',b'Marc Jnr Cochrane',2017-04-11 05:29:55,0
1255083824561246_1255178981218397,148726998530273_1255083824561246,,b'Shane Egan',b'Kevin Kilkenny',2017-04-11 05:34:35,0
