comment_id,status_id,parent_id,comment_message,comment_author,comment_published,comment_likes
10155079298991544_10155079896621544,107584191543_10155079298991544,,"b""People should donate to this, it's very easy if you follow the link.""",b'Clare McLelland',2017-04-10 15:56:25,0
10155072278731544_10155073024201544,107584191543_10155072279246544,,b'Congratulations Robin Swann Good luck in leading the UUP',b'Chris Gray',2017-04-08 15:32:30,2
10155072278731544_10155073076521544,107584191543_10155072279246544,,b'Congratulations Robin. Best wishes for the future.',b'Aaron Foster',2017-04-08 15:58:19,1
10155072278731544_10155075608346544,107584191543_10155072279246544,,"b""Was wondering why there wasn't any special programme on bbc2 yesterday as there had been for SDLP and Alliance conferences earlier this year""",b'Jonathan Abernethy-Barkley',2017-04-09 09:21:41,0
10155072278731544_10155077564561544,107584191543_10155072279246544,10155072278731544_10155075608346544,b'I think that is probably because the main UUP Conference is.in the autumn and is always broadcast',b'Pam Tilson',2017-04-09 22:00:14,0
10155072278731544_10155078049796544,107584191543_10155072279246544,10155072278731544_10155075608346544,b'HOPE YOU DO BETTER THAN NESBITT THE TRAITOR',b'Arlene Sloan',2017-04-10 02:47:31,0
10155072278731544_10155078846531544,107584191543_10155072279246544,10155072278731544_10155075608346544,"b'This is the smaller spring conference - which reelects the leader and key posts. More private than public. Not sure there would be any exhibition stands. Media usually only get access to the speech, but not the rest of the business.'",b'Alan Meban',2017-04-10 09:01:32,2
10155072278731544_10155075802181544,107584191543_10155072279246544,,b'Congratulations Robin',b'Rita Calderwood',2017-04-09 10:59:07,0
10155071798796544_10155071942791544,107584191543_10155071798796544,,b'Nig Brown',b'Lindsay Mulligan',2017-04-08 08:47:53,0
10155071798796544_10155072045066544,107584191543_10155071798796544,,b'Denise Campbell',b'Mark Campbell',2017-04-08 08:57:57,0
10155071798796544_10155072255846544,107584191543_10155071798796544,,b'Dawn Faye Lynn',b'Shirley Porter',2017-04-08 10:44:25,1
10155071798796544_10155072583871544,107584191543_10155071798796544,,b'Lol',b'Roger W Johnston',2017-04-08 12:38:46,1
10155071798796544_10155072912036544,107584191543_10155071798796544,,b'Ross Connolly David Small Greg Stewart Dylan Brady ',b'Lindsay Heenan',2017-04-08 14:48:10,0
10155071798796544_10155073034536544,107584191543_10155071798796544,,b'Lair',b'Thomas Mc Cready',2017-04-08 15:37:38,0
10155071798796544_10155073036576544,107584191543_10155071798796544,,b'Same old',b'Evonne Cardwell',2017-04-08 15:38:21,0
10155071798796544_10155073168686544,107584191543_10155071798796544,,b'The Party needs to merge with the Conservative Party big time.',b'Daniel Hall',2017-04-08 16:42:14,0
10155071798796544_10155075083281544,107584191543_10155071798796544,,"b'He mentioned the UUP taking a seat off Sinn Fein to great applause, but forgot to mention the UUP transfers that got the SDLP in, losing unionism a seat.'",b'Jon McPeake',2017-04-09 05:15:35,3
10155060013756544_10155060028791544,107584191543_10155060013756544,,b'Very good speech. :)',b'Michael Palmer',2017-04-05 10:17:22,1
10155060013756544_10155060150966544,107584191543_10155060013756544,,"b'Well said Jim, proper order.'",b'Thomas Matchett',2017-04-05 11:08:14,0
10155060013756544_10155060159206544,107584191543_10155060013756544,,b'Proper order',b'Christopher White',2017-04-05 11:10:52,0
10155060013756544_10155060465641544,107584191543_10155060013756544,,b'Is it any wonder I voted to leave.',b'Stephen Gough',2017-04-05 12:26:10,1
10155060013756544_10155060520116544,107584191543_10155060013756544,,b'Top man',b'William Harkness',2017-04-05 12:51:12,0
10155060013756544_10155060565581544,107584191543_10155060013756544,,b'Great stuff',b'Craig Paddy Hogg',2017-04-05 13:10:29,0
10155060013756544_10155060943761544,107584191543_10155060013756544,,b'well done Jim',b'Kenny Gibson',2017-04-05 14:46:13,0
10155060013756544_10155060953466544,107584191543_10155060013756544,,b'More of that needed',b'Roy Hall',2017-04-05 14:48:28,0
10155060013756544_10155062921241544,107584191543_10155060013756544,,b'Well said!',b'Paul Hilson',2017-04-06 03:46:35,0
10155060013756544_10155063287951544,107584191543_10155060013756544,,"b""Jim Nicholson doesn't speak for the Irish nationalist people of the occupied 6 counties,if anybody does its SF and the Dublin government,certainly not Unionism.""",b'Gerry Mcdermott',2017-04-06 05:56:14,1
10155060013756544_10155063979311544,107584191543_10155060013756544,10155060013756544_10155063287951544,"b""Sf don't want anything to do with it, if they had the people's best interest at heart if did they'd be back at work!""",b'Robert Conville',2017-04-06 09:50:40,1
10155060013756544_10155064686566544,107584191543_10155060013756544,,b'Congratulations to Mr Jim Nicholson for speaking out. Quite right Well done. We need more M Ps like this.',b'Yvonne Copeland',2017-04-06 12:46:44,0
10155053153441544_10155053177176544,107584191543_10155053153441544,,b'Politicians should get back to doing their jobs they are elected to do or have their pay stopped immediately.',b'Jim Allen',2017-04-03 04:05:17,1
10155053153441544_10155053387731544,107584191543_10155053153441544,10155053153441544_10155053177176544,"b'""Politicians"" I think you mean Clowns mate the lot of them ;)'",b'Eddie McLean',2017-04-03 06:34:28,1
10155053153441544_10155053388471544,107584191543_10155053153441544,10155053153441544_10155053177176544,b'Point scoring and mud slinging professionals',b'Jim Allen',2017-04-03 06:35:13,1
10155053153441544_10155053187961544,107584191543_10155053153441544,,"b""There's only one satisfactory outcome warranted here and it's not through dialogue,it's an eye for an eye.""",b'Fiona Beaumont',2017-04-03 04:12:38,1
10155053153441544_10155053763646544,107584191543_10155053153441544,,b'How can Gerry Adams tell the truth about his IRA past when he said he was never a member?.',b'Cecil Keys',2017-04-03 09:31:11,0
10155053153441544_10155054725706544,107584191543_10155053153441544,,"b""If UUP spent as much time on health education jobs and economy as they did on SF bashing they'd win a few more votes and seats.""",b'Jon Rainey',2017-04-03 16:20:34,0
10155053153441544_10155054906931544,107584191543_10155053153441544,,b'If he even found his conscious and one day told the truth no one would believe the man sorry did I say man...',b'Robert Irvine',2017-04-03 17:59:41,0
10155053153441544_10155055170706544,107584191543_10155053153441544,,b'He tells a lie three times and believes it himself !!!!!!!',b'Margaret Graham',2017-04-03 20:00:31,0
10155053153441544_10155056022881544,107584191543_10155053153441544,,b'satan would be believed before irish isis',b'Ernie Scully',2017-04-04 03:47:23,0
10155053153441544_10155056082231544,107584191543_10155053153441544,,b'You have to recognise the truth to be able to speak it... Adams cant.',b'Cindy Magill',2017-04-04 04:20:02,0
10155042854221544_10155042869206544,107584191543_10155042854221544,,b'Talks are going well then',b'Jordan Thompson',2017-03-30 15:36:06,4
10155042854221544_10155042954221544,107584191543_10155042854221544,,b'Johanna Johnston Joseph Johnston',b'Florence Murray',2017-03-30 16:24:24,0
10155042854221544_10155043343086544,107584191543_10155042854221544,,b'expecting another election',b'Eamon Heaney',2017-03-30 19:33:09,0
10155042854221544_10155045800606544,107584191543_10155042854221544,,b'Natasha Gault',b'Cara Montgomery',2017-03-31 15:39:29,0
10155042854221544_10155046089621544,107584191543_10155042854221544,,"b""Get your acts together Unionists together United Unionist Voice! Make it happen, or lose the fight against an orchestrated PR machine by Michelle O'Neil and her organ grinders! Stop being so blinkered and get it sorted before it is too late!""",b'Will Russell',2017-03-31 17:57:00,0
10155041756491544_10155042626871544,107584191543_10155041756491544,,"b""These guys fought for the democracy that the mlas are making a mockery of. It's immoral for MLAs to be claiming a salary when not doing their jobs.""",b'John McCourt',2017-03-30 13:35:59,0
10155040316661544_10155042707751544,107584191543_10155040316661544,,"b""I didn't notice ant news coverage of the 'remainers' that desecrated this memorial on 'brexit day'.""",b'Tom Bell',2017-03-30 14:19:06,0
10155040293121544_10155040552286544,107584191543_10155040293121544,,b'Cash for nada scandal https://www.change.org/p/uk-government-stop-paying-politicians-in-northern-ireland-while-stormont-assembly-is-suspended?recruiter=701246156&utm_source=share_petition&utm_medium=facebook&utm_campaign=share_for_starters_page&utm_term=des-lg-no_src-no_msg',b'John McCourt',2017-03-29 17:50:48,0
10155039571051544_10155039837636544,107584191543_10155039571051544,,b'How about those civilians massacred by the London sponsered UVF and UDA? Nothing for those victims?',b'Eric Low',2017-03-29 11:59:11,0
10155039571051544_10155040094981544,107584191543_10155039571051544,,"b""What about the MLAs who are taking a full salary when they haven't even done a day's work since November 2016? Maybe we could take that money and give it to victims.""",b'John McCourt',2017-03-29 14:02:45,1
10155039534081544_10155039648101544,107584191543_10155039534081544,,"b'Brits will never back down to alien irish isis or arab isis. liberals did it once, never will happen again, no matter how many saints they make.'",b'Ernie Scully',2017-03-29 10:51:28,2
10155039534081544_10155039874891544,107584191543_10155039534081544,,b'About time! The opposite to Blair and his wide range of neutrals!',b'Marlene Allen',2017-03-29 12:12:41,0
10155039534081544_10155039921606544,107584191543_10155039534081544,,"b""However, 'Fine words butter no parsnips'. Remember that Mrs Thatcher said, 'NI is as British as Finchley'!""",b'Andrew Martin',2017-03-29 12:36:07,0
10155039534081544_10155039929636544,107584191543_10155039534081544,10155039534081544_10155039921606544,b'True. Right before signing the Anglo-Irish Agreement...',b'Marlene Allen',2017-03-29 12:37:37,1
10155039534081544_10155043092641544,107584191543_10155039534081544,10155039534081544_10155039921606544,"b""Marlene you've hit the nail on the head.""",b'Stephen Bailey',2017-03-30 17:29:15,0
10155039534081544_10155040029076544,107584191543_10155039534081544,,b'I sincerely hope that the coming months and years will prove Prime Minister May a lady of her word.',b'Tom Bell',2017-03-29 13:26:34,2
10155039534081544_10155040552476544,107584191543_10155039534081544,,"b'If the UUP did stand for remain as most ( ?) NI they should prefer the EU to the union, however, my policy is two islands, two countries'",b'Carles Manrique P ',2017-03-29 17:50:57,0
10155039534081544_10155041904161544,107584191543_10155039534081544,,b'Need to get the talks started again.',b'Gordon Finlay',2017-03-30 06:43:42,0
10155039534081544_10155043085906544,107584191543_10155039534081544,10155039534081544_10155041904161544,"b""No,we don't.In my view we need to end this farce now,completely scrap Stormont and permemantly re-introduce direct rule from London.It's the only practicable solution to the NI issue.""",b'Stephen Bailey',2017-03-30 17:25:08,0
10155039534081544_10155043081421544,107584191543_10155039534081544,,"b""I urge people to take caution when hearing such assurances from the government.Over the last 35 odd years the British government has contnuously treated the loyalty of the Unionist majority in the Province (and elsewhere in the UK) with coldness' and treachery-look at the Anglo-Irish agreement of 1985,a disgusting sell out of the Unionists which gave the South a say in Ulster's affairs.""",b'Stephen Bailey',2017-03-30 17:22:31,0
10154985750176544_10154985812291544,107584191543_10154985750176544,,b'Get your act together.',b'Bill McGarrity',2017-03-11 08:38:08,1
