status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Party
47217143218_10155916660928219,"Heute ist der 2. April. Also wenden wir uns wieder den Fakten zu! Zum Beispiel dem: Die #Energiewende spart Geld. Während Donald #Trump zurück zum Klimakiller Kohle will, ist Strom aus natürlichen Quellen weltweit auf dem Vormarsch - und die Kosten sinken. Bitte teilt diese gute Nachricht! (Quelle: SZ)",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155916660928219/?type=3,2017-04-02 03:29:39,675,105,353,601,24,11,9,22,8,B90DieGruenen
47217143218_10155913228693219,,Cem Özdemir,video,https://www.facebook.com/Cem/videos/10154957344112881/,2017-04-01 02:08:11,302,43,0,288,6,3,4,0,1,B90DieGruenen
47217143218_10155911016018219,"Die PKW-Maut für Ausländer ist nicht nur die unsinnigste Erfindung seit der Indoor-Sonnenuhr, sondern auch eine Riesen-Wählertäuschung! Den Beweis liefert dieses Video. Anschauen, ärgern und teilen!","Angela Merkel: ""Mit mir wird es keine PKW-Maut geben""",video,https://www.facebook.com/B90DieGruenen/videos/10155911016018219/,2017-03-31 11:18:00,504,115,524,353,6,4,54,6,81,B90DieGruenen
47217143218_10155910319103219,"Peinlich: SPD und Linke Ministerpräsidenten hatten nicht den Mut, die antieuropäische CSU-Maut im Bundesrat zu stoppen. Jetzt ist es eine #GroKo-Maut. Teilt das Bild und helft mit, dass dieser Unsinn mit der Bundestagswahl beendet wird!",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155910319103219/?type=3,2017-03-31 06:23:17,387,77,281,359,5,1,2,3,17,B90DieGruenen
47217143218_10155907995078219,,Cem Özdemir,video,https://www.facebook.com/Cem/videos/10154954403092881/,2017-03-30 12:17:46,224,65,0,204,5,2,12,0,1,B90DieGruenen
47217143218_10155907430173219,"Die SPD macht Wahlkampf mit der Ehe für alle, traut sich aber nicht, sie auch gegen die CDU/CSU durchzusetzen. Wer wirklich möchte, dass wer liebt auch heiraten darf, muss auf GRÜN setzen. Teilt das Bild und sagt mit uns: Ja zur Ehe für alle!",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155907430173219/?type=3,2017-03-30 07:36:56,1339,98,340,1229,86,4,12,1,7,B90DieGruenen
47217143218_10155905022273219,,BÜNDNIS 90/DIE GRÜNEN NRW,video,https://www.facebook.com/gruenenrw/videos/10155136878834725/,2017-03-29 12:28:23,123,24,0,117,4,1,1,0,0,B90DieGruenen
47217143218_10155904555703219,"Der Schrottreaktor im belgischen #Tihange wird mit deutschen Brennstäben betrieben. Obwohl sie sonst aus Sicherheitsbedenken die Abschaltung fordert, genehmigt SPD-Umweltministerin Hendricks den Export. Wirtschaftliche Interessen dürfen nie wichtiger sein als unsere Sicherheit. Teilt das Bild für einen Export-Stopp!",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155904555703219/?type=3,2017-03-29 10:59:58,393,19,185,337,2,1,3,2,48,B90DieGruenen
47217143218_10155904609293219,"Lasst uns die EU sozialer, ökologischer und demokratischer machen. Gerade jetzt. Mit eurer Hilfe. Setzt euch für ein starkes Europa ein und teilt das Zitat von Cem Özdemir!",Cem Özdemir,photo,https://www.facebook.com/Cem/photos/a.95422057880.81867.36379612880/10154951638887881/?type=3,2017-03-29 09:38:08,551,54,0,511,18,5,14,2,1,B90DieGruenen
47217143218_10155904327413219,"Liebe SPD, die Ehe für alle ist eine gute Sache. Lasst sie uns doch gemeinsam im Bundestag beschließen! Gerne schon morgen. Teilt das Bild und fordert die SPD auf, mehr zu tun als nur drüber zu reden! Denn Liebe ist ...nicht nur ein Wahlkampfthema.",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155904327413219/?type=3,2017-03-29 07:43:02,744,65,158,675,31,3,32,0,3,B90DieGruenen
47217143218_10155901490203219,Düster: Donald Trump würgt den Klimaschutz ab und schickt sein Land zurück ins Kohle- und Ölzeitalter. Doch die Zukunft gehört den grünen Energien! Also teilt das Bild und stopft den Schlot!,Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155901490203219/?type=3,2017-03-28 13:36:53,706,87,1165,453,0,5,14,82,152,B90DieGruenen
47217143218_10155901882698219,,BÜNDNIS 90/DIE GRÜNEN NRW,photo,https://www.facebook.com/gruenenrw/photos/a.85559089724.79432.20672124724/10155134028754725/?type=3,2017-03-28 13:06:40,269,27,0,230,8,1,0,4,26,B90DieGruenen
47217143218_10155898023778219,"Die Zukunft wird aus neuen Ideen gemacht. Wir wollen alle Fortbewegungsmittel im Nahverkehr in einer praktischen App zusammenfassen! Bahn, Tram, Bus, Car- und Fahrradsharing. So wird Reisen für alle einfacher und günstiger. Ihr wollt bequem und umweltfreundlich von A nach B? Dann teilt das Bild!",Timeline Photos,photo,https://www.facebook.com/B90DieGruenen/photos/a.103764373218.113604.47217143218/10155898023778219/?type=3,2017-03-27 09:20:28,593,111,199,557,16,2,17,0,1,B90DieGruenen
47217143218_10155895023938219,"Grüne im Saarland: Hart gekämpft, aber verloren",,status,,2017-03-26 12:43:08,780,587,34,306,20,2,266,183,3,B90DieGruenen
47217143218_10155894405088219,"Liebe Saarländerinnen und Saarländer, jetzt noch schnell ins Wahllokal und #Grün wählen! Eure Stimme kann den Unterschied machen! #OhneGrünWirdEsGrau",Bündnis 90/Die Grünen Saarland,photo,https://www.facebook.com/GrueneSaar/photos/a.603287719700420.1073741825.167231359972727/1681372615225253/?type=3,2017-03-26 08:18:47,185,350,0,90,3,4,88,0,0,B90DieGruenen
47217143218_10155891739668219,"Liebe Saarländerinnen und Saarländer, heute zählt's! Heute geht es darum, eine echte europäische Partei in den Landtag zu wählen! Eine Partei, die sich vehement für die Umwelt, für gute Bildung und Bürgerrechte einsetzt! Das #Saarland braucht starke Grüne. Also: Heute unbedingt Grün wählen!",,video,https://www.facebook.com/B90DieGruenen/videos/10155891739668219/,2017-03-26 02:00:00,255,153,33,195,10,1,46,0,3,B90DieGruenen
