status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Party
47930567748_10154493560287749,"Egal, ob schwanger oder frisch gebackene Mama: Jede (werdende) Mutter will ihrem Kind nur das Beste bieten. Deshalb haben wir den #Mutterschutz ausgeweitet. Künftig werden auch Studentinnen, Praktikantinnen, Auszubildende und Schülerinnen profitieren. Auch Selbständigen wird die Möglichkeit eröffnet, sich für die Zeit des Mutterschutzes besser finanziell abzusichern. Mehr Schutz gibt es auch für Frauen, die Kinder mit Behinderungen zur Welt bringen oder eine Fehlgeburt erleiden. 
Mehr: http://spdlink.de/sYfP",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154493560287749/?type=3,2017-04-02 10:42:38,397,35,73,383,9,0,4,0,1,SPD
47930567748_10154498299932749,"Jetzt LIVE! NRW-Wahlkampfauftakt mit Hannelore Kraft und Martin Schulz

#NRWIR starten heute in der Grand Hall Zollverein in Essen die heiße Phase unseres Wahlkampfes. Auf der Bühne mit Musik von FRIDA GOLD, Streetart und Artistik von Urbanatix | Streetart & World Artistic und Poetry Slam mit Ella Anschein. Talk mit Malu Dreyer, Sigmar Gabriel, Olaf Scholz und Thomas Oppermann.",Hannelore Kraft,video,https://www.facebook.com/hannelorekraft/videos/10155143487365349/,2017-04-02 04:16:12,289,34,0,273,6,1,8,0,1,SPD
47930567748_10154496431962749,"Natürlich gibt es auch woanders nette Menschen, aber...
 #SPDCC17",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154496431962749/?type=3,2017-04-02 01:00:00,968,72,142,895,36,4,30,1,2,SPD
47930567748_10154496315162749,"Das war spitze! Egal ob alter Hase, neu in unserer Partei oder ohne Parteibuch: Über 500 Interessierte und Mitglieder waren bei unserem 2. Campaign Camp in Hamburg. Alle wollen mitmachen, anpacken und sich einbringen. Wir freuen uns, dass es wieder um Politik geht und weniger um Populismus. Die SPD brennt auf Wahlkampf! #SPDCC17",Und jetzt: Loslegen! #SPDCC17,video,https://www.facebook.com/SPD/videos/10154496315162749/,2017-04-01 09:34:38,458,43,43,422,24,1,9,0,2,SPD
47930567748_10154491130682749,"Luise Nordhold ist 100 Jahre alt und länger bei uns als jede andere - seit 1931. Als Luise 1917 als Arbeiterkind geboren wird, tobt seit drei Jahren der Erste Weltkrieg. 1918 flieht der deutsche Kaiser ins Exil und Philipp Scheidemann ruft die Republik aus. Luise wächst in einem sozialdemokratischen Elternhaus in Bremen-Gröpelingen auf. „Goldene zwanziger Jahre"" gibt es für sie nicht. 1923 Inflation. Hunger. Die junge Bremerin lernt bei den Kinderfreunden „Die Falken"" und der Arbeiterjugend die fortschrittlichen Ideen der SPD kennen. Auch ihr Ehemann ist Sozialdemokrat. Gemeinsam überstehen sie die dunklen Jahre des Nationalsozialismus. Manchmal fühlt sie sich an diese Zeit erinnert, wenn ihr heute Fremdenhass und Demokratiefeindlichkeit begegnen. 
Wir sind stolz, dass Luise seit genau 90 Jahren Mitglied unserer ""Familie"" ist. Alles, alles Gute, liebe Luise!","Liebe Luise, wir sind stolz auf dich!",video,https://www.facebook.com/SPD/videos/10154491130682749/,2017-04-01 01:00:00,743,20,90,644,71,11,17,0,0,SPD
47930567748_10154493666862749,"Wir sind überwältigt! 15.000 Menschen sind Teil unserer „Familie"" geworden, seit Martin Schulz' Kanzlerkandidatur offiziell wurde. 15.000 aus allen Generationen, allen Bevölkerungsgruppen und allen Regionen. 15.000, die wissen: Mehr soziale Gerechtigkeit ist möglich, wenn alle gemeinsam anpacken. Das lohnt sich. 
Jetzt in die SPD! http://eintreten.spd.de #zeitfuermartin",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154493666862749/?type=3,2017-03-31 09:52:51,787,93,176,711,49,4,17,1,5,SPD
47930567748_10154491244922749,"Du bekommst ungerechtfertigt weniger Lohn als Deine Kollegen? Bist Dir aber nicht so ganz sicher? Manuela Schwesig und wir haben jetzt gegen den Widerstand der Konservativen ein Gesetz erkämpft. Damit bekommen viele Beschäftigte im Land einen Auskunftsanspruch darüber, wie viel Lohn vergleichbare Gruppen an Kollegen bekommen. Das ist insbesondere für Frauen wichtig, die oft immer noch - für die gleiche Arbeit! - schlechter bezahlt werden als Männer. Wir haben noch viel zu tun. Aber das ist ein weiterer wichtiger Schritt für mehr Lohngerechtigkeit.",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154491244922749/?type=3,2017-03-30 11:32:27,340,61,77,321,5,2,10,1,1,SPD
47930567748_10154488953602749,"Wenn ein Manager 200-mal so viel verdient wie ein Angestellter, verletzt das das Gerechtigkeitsgefühl der Leute. Da ist etwas aus dem Ruder gelaufen. Wir wollen Managergehälter begrenzen. CDU/CSU weigern sich. Warum das eine Frage der Gerechtigkeit ist, zeigt unser Finanzexperte Lothar Binding im Video.",Managergehälter: Exzesse stoppen.,video,https://www.facebook.com/SPD/videos/10154488953602749/,2017-03-30 04:04:36,1130,164,283,1008,32,3,21,11,55,SPD
47930567748_10154488587412749,"Heute kam der Brief: Das Vereinigte Königreich erklärt offiziell, aus der EU austreten zu wollen. Wir finden das sehr bitter. Putin, Trump und Erdoğan setzen auf ein schwaches Europa. Und die Rechtspopulisten von Le Pen bis Petry wollen Europa zerstören. Doch mit Martin Schulz und uns wird ihnen das nicht gelingen. Wir wollen Europa verbessern und stärken.
Also mach mit: eintreten statt austreten! https://eintreten.spd.de #brexit",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154488587412749/?type=3,2017-03-29 10:56:49,453,67,71,412,16,2,8,11,4,SPD
47930567748_10154486228097749,"Mensch Angela, Schluss mit „Bauchgefühl""! Spring über deinen Schatten und stimm unserem Gesetzentwurf zu. Es ist Zeit, die Diskriminierung von Lesben und Schwulen endlich zu beenden.  #EsistZeit für die #Ehefüralle!",Timeline Photos,photo,https://www.facebook.com/SPD/photos/a.73469452748.75861.47930567748/10154486228097749/?type=3,2017-03-29 00:53:00,4898,330,1351,4553,256,7,33,3,46,SPD
