status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Party
540404695989874_1445347358828932,"Wenn Sie an die AfD Fragen stellen, dann antworten Ihnen echte Menschen. Nicht so bei der CDU. Behauptete Peter Tauber kürzlich noch, die CDU setze keine Social Bots ein, will sie im Wahlkampf nun doch Chatbots einsetzen.",Dr. Frauke Petry,photo,https://www.facebook.com/Dr.Frauke.Petry/photos/a.782724038446912.1073741828.782456275140355/1426885190697457/?type=3,2017-04-03 03:11:34,177,14,0,161,5,0,11,0,0,AfD
540404695989874_1443538262343175,"""Der Behörde liegen Erkenntnisse vor, dass der Bundesparteitag der AfD im Bereich der gewaltbereiten, linksextremistischen Szene eine hohe Anziehungskraft hat"", so Jürgen Mathies, Polizeipräsident in Köln. Deshalb müssen, einem Bericht des General-Anzeiger nach, 4.000 Polizisten den Parteitag der AfD vor ""mehreren Tausend Linksextremisten aus ganz Deutschland"" schützen. Dabei dachten wir doch bisher, der Linksextremismus sei ein ""aufgebauschtes Problem"", wie es Manuela Schwesig (SPD) noch 2014 erklärte?

Die AfD fordert die Bundesregierung auf, gegen jede Art von Extremismus einzutreten, statt ausschließlich die bunten Töpfe gegen Rechts mit Wonne zu füllen, während Linksextreme mit Samthandschuhen angefasst werden. Ob religiöser, rechter oder linker Extremismus, Aufgabe des Staates ist es, jegliche extremistische Tendenzen zu bekämpfen, um die Bürger unseres Landes und nicht zuletzt die Demokratie zu schützen.

Den 4.000 Polizisten danken wir schon jetzt für ihren Einsatz!

Ergänzender Hinweis: Am Parteitag nehmen inklusive Delegierte, Gäste und Pressevertreter ca. 800-1000 Personen teil.

Quelle:
http://www.general-anzeiger-bonn.de/news/politik/nrw/Mehr-als-4000-Polizisten-rund-um-AfD-Bundesparteitag-article3521004.html

Schwesig-Zitat:
https://www.welt.de/politik/deutschland/article129635099/Linksextremismus-ist-ein-aufgebauschtes-Problem.html (Archivlink)",Timeline Photos,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1443538262343175/?type=3,2017-04-02 04:00:00,2011,365,1280,1232,2,37,42,199,499,AfD
540404695989874_1443219602375041,"Nach dem erfolgreichen Einzug der AfD in den saarländisch Landtag fehlte ausgerechnet ein Vertreter unserer Partei in der Sendung ""Anne Will"". Die Erklärung der ARD: ""Der Fokus unserer Sendung lag auf den bundespolitischen Auswirkungen der Wahl im Saarland sowie auf möglichen Regierungskoalitionen im Bund. Da die AfD im Bundestag noch nicht vertreten ist und derzeit alle anderen Parteien eine Koalition mit ihr ausschließen, haben wir diesmal darauf verzichtet, einen AfD-Vertreter einzuladen.""",Prof. Dr. Jörg Meuthen,photo,https://www.facebook.com/Prof.Dr.Joerg.Meuthen/photos/a.554885501326826.1073741828.554345401380836/799428776872496/?type=3,2017-04-01 09:28:47,1266,220,1,904,5,20,73,19,245,AfD
540404695989874_1442841749079493,"+++Wichtiger Hinweis in eigener Sache!+++

Vermehrt melden sich Nutzer bei uns, die unsere Beiträge nicht mehr in ihrem Newsfeed angezeigt bekommen. Dies ist meist dann der Fall, wenn Facebook größere Veränderungen an Funktionen und Design des sozialen Netzwerks vornimmt.

Damit Sie dennoch keinen Beitrag von uns verpassen, lassen Sie sich einfach über neue Inhalte benachrichtigen. Außerdem können Sie sich alle Beiträge prominent im News-Feed anzeigen lassen. Das funktioniert übrigens auch am Smartphone!

Wir danken Ihnen für Ihre Unterstützung!",Timeline Photos,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1442841749079493/?type=3,2017-04-01 03:19:59,505,81,81,483,15,5,2,0,0,AfD
540404695989874_1441859352511066,"In Baden-Württemberg fällt jeder dritte Polizeianwärter durch den obligatorischen Deutsch-Test. Von 3.350 Anwärtern scheiterten im vergangenen Jahr 1.150 an der Sprachprüfung. [1]
Neben den immer weiter sinkenden Bildungsstandards ist dafür augenscheinlich auch die Einstellungspolitik des Landes verantwortlich. 

So kann sich auch bewerben, wer keine deutsche Staatsbürgerschaft hat, also beispielsweise aus dem Irak oder der Türkei stammt. Die Polizei solle somit ""durch verschiedene ausländische Lebensweisen und Mentalitäten"" bereichert werden. Bewerben kann sich, wer sich seit 10 Jahren legal in Deutschland aufhält und seine Muttersprache in Wort und Schrift beherrscht. Beworben wird dies in Broschüren und im Internet: ""Vielfalt er(leben) im Team der Polizei"" [2]

Ralf Kusterer, Landesvorsitzender der Deutschen Polizeigewerkschaft in Baden-Württemberg, warnt zudem davor, die Einstellungsstandards zu verringern. ""Die Bundespolizei hat bereits einige Standards verringert"", so Kusterer. Das sei für ihn der falsche Weg.

Dem können wir uns anschließen. Polizeidienststellen sind keine Versuchslabore von Integrationsfanatikern, sondern haben die Aufgabe, die Bevölkerung zu schützen.

[1] http://www.stimme.de/suedwesten/nachrichten/pl/Jeder-dritte-Polizei-Bewerber-scheitert-beim-Deutsch-Test;art19070,3820909

[2] https://nachwuchswerbung.polizei-bw.de/web/index.php/kulturelle-vielfalt/#intro",Timeline Photos,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1441859352511066/?type=3,2017-03-31 10:00:00,2162,298,679,1688,9,22,155,21,267,AfD
540404695989874_1441769289186739,"+++Die Merkel-Lüge: PKW-Maut kommt doch!+++

Die PKW-Maut hat den Bundesrat passiert, damit wäre der Weg hierfür in Deutschland frei. Halt: Hatte Bundeslügnerin Angela Merkel 2013 nicht versprochen, mit ihr werde es ""keine PKW-Maut geben""? Nun kommt sie doch, und ähnlich glaubhaft wie Merkels Aussage ist auch die Ankündigung, die deutschen Autofahrer würden nicht zusätzlich belastet.

Unterdessen hat Österreich angekündigt, vor dem Europäischen Gerichtshof Klage einzureichen, da die Maut ""Ausländer diskriminiere"". Bis die Maut also tatsächlich kommt, kann es noch etwas dauern.

http://www.bild.de/politik/inland/politik/eilmeldung-maut-51090686.bild.html",Timeline Photos,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1441769289186739/?type=3,2017-03-31 06:04:28,4612,652,3525,3492,11,19,328,27,735,AfD
540404695989874_1441635329200135,"12.03.2016 in Rheinland-Pfalz: Nach einem ""Anti-Dreyer-Wahlkampf"" zieht die FDP mit 6,2% in den Landtag ein. Wenige Tage später vergisst die FDP ihr komplettes Programm, um Mehrheitsbeschaffer der SPD in einer Ampel-Regierung zu werden. Sie unterstützt nun alle ideologischen Anträge sowohl der SPD als auch der Grünen. Und das mit Begeisterung.

24.09.2017 in Deutschland: Nach einem ""Anti-Schulz-Wahlkampf"" der FDP könnte auch Martin Schulz auf die FDP als Koalitionspartner angewiesen sein...

https://www.welt.de/politik/deutschland/article163288085/Die-FDP-setzt-auf-ein-Anti-Schulz-Programm.html",Timeline Photos,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1441635329200135/?type=3,2017-03-31 02:36:53,938,162,218,673,2,5,174,7,77,AfD
540404695989874_1440836129280055,"Um 16:30 Uhr auf phoenix: Podiumsdiskussion ""Nervöse Republik"" mit unserer Bundessprecherin Dr. Frauke Petry.

Es verspricht, eine sehr interessante Sendung zu werden, denn mit dabei sind Katarina Barley (SPD), Peter Tauber (CDU) und Sahra Wagenknecht (Linke). Moderiert wird die Diskussion von Anne Will.

Um 16:30 Uhr hier im LIvestream einschalten:
http://www.phoenix.de/livestream/",Timeline Photos,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1440836129280055/?type=3,2017-03-30 08:30:00,842,224,97,800,29,10,1,2,0,AfD
540404695989874_1440687522628249,"+++Darf gerne geteilt werden!+++
Sucht man in Google nach den Wörtern ""Grüne gegen"", werden 47.000 Ergebnisse präsentiert. Neuestes Verbotsvorhaben: Spargel-Folien sollen in Brandenburg nicht mehr eingesetzt werden dürfen, da die Grünen sich um Wildvögel sorgen. Bedeutet also: Wenn ein Wildvogel den Flug durch die grünen Windkraftanlagen noch überlebt hat, könnte er sich anschließend in der Kunststofffolie verheddern. Was die Bauern in Brandenburg übrigens abstreiten, diese Gefahr bestünde nicht, im Gegenteil böten die Folien sogar ökologische Vorteile. 

Doch auch in anderen Bereichen setzen die Grünen skurrile Akzente, so verteidigen sie in Niedersachsen derzeit die Kinderehe. Den Link zu dieser aktuellen Nachricht finden Sie in nachfolgender Liste. 

Schon immer waren die Grünen groß darin, Dinge verbieten zu wollen, übrigens nicht nur in Deutschland. Hier 10 ausgewählte Verbotsforderungen, die das ideologische und undemokratische Selbstverständnis der Grünen untermauern:

1. ""Grüne gegen Erweiterung sicherer Herkunftsstaaten""
http://www.faz.net/aktuell/politik/inland/maghreb-laender-gruene-gegen-erweiterung-sicherer-herkunftsstaaten-14914495.html

2. ""Grüne gegen Volksabstimmungen""
http://www.spiegel.de/politik/ausland/referendum-in-den-niederlanden-harms-ist-gegen-volksabstimmungen-a-1086067.html

3. ""Grüne gegen härtere Strafen für Angriffe auf Polizisten""
http://www.goettinger-tageblatt.de/Welt/Politik/Deutschland-Welt/Gruene-Neues-Gesetz-verhindert-Angriffe-auf-Polizisten-nicht

4. ""Grüne gegen Taser im Streifendienst""
http://www.radiobremen.de/politik/themen/taser-polizei-bremen100.html

5. ""Grüne gegen Verbot von Kinderehen""
https://www.nwzonline.de/politik/gruene-verteidigt-kinderehe_a_31,2,3024780180.html

6. ""Grüne gegen Weihnachtsbäume""
http://www.focus.de/regional/duesseldorf/duesseldorf-die-gruenen-wollen-die-weihnachtstanne-vor-dem-rathaus-abschaffen_id_6172985.html

7. ""Grüne fordern Verbot von feuchten WC-Tüchern"" (Österreich)
http://www.krone.at/oesterreich/noe-gruene-fordern-verbot-von-feuchten-wc-tuechern-skurriler-antrag-story-559549

8. ""Grüne gegen Spargelfolien""
http://www.maz-online.de/Brandenburg/Gruene-wollen-Spargelfolien-verbannen

9. ""Grüne gegen Polizeipferde""
http://www.bild.de/regional/hannover/die-gruenen/gegen-polizeipferde-auf-demos-46031342.bild.html

10. ""Grüne gegen Lichtverschmutzung""
http://www.mdr.de/sachsen-anhalt/landespolitik/skurrile-forderungen-wahlprogramme-100.html

Falls Sie weitere abstruse Forderungen und Verbotswünsche im Netz finden, teilen Sie uns dies doch in den Kommentaren mit! ;)",Timeline Photos,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1440687522628249/?type=3,2017-03-30 05:51:04,2186,432,1272,1178,8,19,854,12,115,AfD
540404695989874_1440617585968576,"Bei ""maischberger"" ging es gestern um den Brexit und dessen Folgen. Zu Gast war unter anderem unsere stellvertretende Bundesvorsitzend Beatrix von Storch, die auch in Deutschland ein EU-Referendum vorschlägt: ""Fragen wir doch die Bürger!""

Die Sendung können Sie sich hier in der Mediathek ansehen:
http://www.daserste.de/unterhaltung/talk/maischberger/videos/brexit-staerkt-europa-nationalisten-am-ende-video-102.html",Timeline Photos,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1440617585968576/?type=3,2017-03-30 03:00:55,3249,261,654,3131,93,6,15,0,4,AfD
