status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Party
47694585682_10154171407660683,"Es fährt ein Zug nach Nirgendwo: Die SPD liebäugelt mit einer Ampelkoalition. Aber mit der FDP im Schulz-Zug gibt's weiter Freifahrten für Superreiche und Spekulanten. Soziale Gerechtigkeit sieht anders aus. DIE LINKE sagt: Das Land braucht nicht einfach den Machtwechsel, sondern die Wende hin zu einem sozialen und gerechten Land. Oder: Einen Zug, der alle mitnimmt.",Timeline Photos,photo,https://www.facebook.com/linkspartei/photos/a.60691390682.82555.47694585682/10154171407660683/?type=3,2017-04-01 05:17:50,1426,125,337,1216,17,4,12,51,126,Linkspartei
47694585682_10154168909875683,Enthüllung des ersten Großplakats in NRW für den Landtagswahlkampf. Zeig Stärke!,DIE LINKE. NRW,video,https://www.facebook.com/dielinke.nrw/videos/1301758419916022/,2017-03-31 04:13:01,139,16,0,123,10,3,2,1,0,Linkspartei
47694585682_10154166962110683,"33 Zivilisten, darunter Frauen und Kinder, wurden bei der Bombardierung einer Schule in Syrien getötet. Tornados der Bundeswehr spähten das Ziel vor dem Angriff aus. Damit ist Deutschland für das Töten mitverantwortlich. Deshalb: Tornados stoppen, Luftangriff aufklären, Syrien-Einsatz beenden!",Timeline Photos,photo,https://www.facebook.com/linkspartei/photos/a.60691390682.82555.47694585682/10154166962110683/?type=3,2017-03-30 06:08:11,3143,236,1012,2592,11,7,7,186,340,Linkspartei
47694585682_10154164778535683,Total irre. Der Klimawandel ist in vollem Gange und Donald Trump schleift den Klimaschutz. Sein Ziel: weg von den erneuerbaren Energien und zurück zu Kohle und Öl. Verantwortungsvolle Politik sieht anders aus.,Timeline Photos,photo,https://www.facebook.com/linkspartei/photos/a.60691390682.82555.47694585682/10154164778535683/?type=3,2017-03-29 05:22:10,849,122,137,573,8,8,24,72,164,Linkspartei
47694585682_10154162577595683,"Das Bündnis Reichtum umverteilen - ein gerechtes Land für alle tritt heute, am 28. März, in Berlin erstmals vor die Öffentlichkeit. Die 30 im Bündnis zusammengeschlossenen Organisationen rücken die Frage der sozialen Gerechtigkeit und die Steuer- und Umverteilungspolitik in den Mittelpunkt des Wahlkampfs. Notwendig ist die stärkere Besteuerung finanzstarker Unternehmen sowie großer Vermögen, Einkommen und Erbschaften.  DIE LINKE unterstützt das Bündnis - macht auch ihr mit: https://www.reichtum-umverteilen.de",Timeline Photos,photo,https://www.facebook.com/linkspartei/photos/a.60691390682.82555.47694585682/10154162577595683/?type=3,2017-03-28 07:00:18,647,71,144,623,20,0,0,1,3,Linkspartei
47694585682_10154160473520683,"Nach dem Armuts- und Reichtumsbericht der Bundesregierung hat knapp die Hälfte der Bevölkerung in Deutschland heute weniger Einkommen als 1999. ""Und wenn Sie jetzt sagen, diese Art von Politik wollen Sie fortsetzen, dann muss ich sagen: Das ist wirklich unglaublich. Ich finde, so eine Art von Politik darf man nicht fortsetzen."" Klare Worte von unserer Spitzenkandidatin Sahra Wagenknecht gestern bei Anne Will.",Fraktion DIE LINKE. im Bundestag,video,https://www.facebook.com/linksfraktion/videos/10154553753643434/,2017-03-27 11:21:21,958,61,0,878,42,0,3,5,30,Linkspartei
47694585682_10154158180245683,"Katja Kipping und Bernd Riexinger mit einem ersten Statement zur Landtagswahl im Saarland. 
„Wir freuen uns über ein gutes Ergebnis. DIE LINKE hat mit Oskar Lafontaine einen engagierten Wahlkampf geführt. Sie stand klar für soziale Gerechtigkeit, für mehr Investitionen in Infrastruktur und für die Herstellung von Bildungs- und Steuergerechtigkeit.",Landtagswahl im Saarland,video,https://www.facebook.com/linkspartei/videos/10154158180245683/,2017-03-26 12:43:41,694,117,89,641,6,6,16,20,5,Linkspartei
47694585682_10154155446785683,Am Sonntag sind wir alle Oskar. Denn an der Saar wie im Bund gilt: Je stärker DIE LINKE desto sozialer das Land.,DIE LINKE. im Saarland,video,https://www.facebook.com/DieLINKE.Saar/videos/10154754760646622/,2017-03-25 09:27:46,1050,63,0,1000,29,3,14,0,4,Linkspartei
47694585682_10154153215880683,"Wir brauchen eure Unterstützung! In diesem Jahr werden die Weichen gestellt, wie es mit unserer Gesellschaft, unserem Land weitergeht. Als einzige im Bundestag vertretene Partei nehmen wir keine Spenden von Konzernen und Banken an. Aber deine 5 Euro helfen sehr!",5 EUR spenden - für einen Wahlkampf der sozialen Gerechtigkeit.,link,https://die-linke-spende.de/zehntausendmalfuenf,2017-03-24 11:20:15,2230,190,983,2061,101,15,39,2,12,Linkspartei
47694585682_10154152893150683,"""Wenn man das Gefühl hat, alles zu geben und es dennoch nicht zu schaffen, dann bekommt man eben auch Schuldgefühle."" (Stefanie Kaps, alleinerziehend). Wie ist diese Gesellschaft aus den Fugen geraten, wenn ein Kind zu Schuldgefühlen führt?",Dietmar Bartsch,video,https://www.facebook.com/DietmarBartschMdB/videos/1361900713893260/,2017-03-24 07:27:21,244,22,0,191,3,1,1,31,17,Linkspartei
47694585682_10154150764410683,"Der Armuts- und Reichtumsbericht von Ministerin Andrea Nahles (SPD) ist eine verheerende Bilanz sozialer Ungerechtigkeit. 40% der Menschen in unserem Land haben heute weniger als im Jahre 1995. Die Aufstiegschancen haben sich verschlechtert. Die Verantwortung dafür liegt an der Politik der Bundesregierungen, an denen übrigens die SPD seit 1998 fast ununterbrochen beteiligt war. Unser Spitzenkandidat Dietmar Bartsch fordert die SPD zum Handeln auf:",Dietmar Bartsch,video,https://www.facebook.com/DietmarBartschMdB/videos/1361722383911093/,2017-03-23 11:06:05,1389,148,0,1082,11,8,5,115,168,Linkspartei
47694585682_10154147657385683,"Die Dax-Konzerne schütten 31,7 Milliarden Euro aus. Eine Milliarde Euro erhält davon alleine die Familie Quandt für ihr Aktienpaket bei BMW. Dieses gigantische Einkommen wird niedriger besteuert als Einkommen aus Arbeit. Wir sagen: Schluss mit diesen Steuergeschenken für Superreiche.",Timeline Photos,photo,https://www.facebook.com/linkspartei/photos/a.60691390682.82555.47694585682/10154147657385683/?type=3,2017-03-22 07:03:01,2610,119,753,2293,31,11,3,16,256,Linkspartei
