status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
26416930992_10155030166385993,"""Dylid gwrthod y cynigion am Stryd Womanby oni cheir gwarantau cadarn nad effeithir ar fannau cerdd byw sydd yno eisoes.

""Mae angen i'n Senedd wrando ar y miloedd o bobl sydd wedi cymryd amser i lofnodi'r ddeiseb, oherwydd bod arnom angen newid yn y deddfau cynllunio, ac yr wyf yn galw ar bawb sy'n bresennol i sicrhau ein bod yn newid y gyfraith yma yng Nghymru a gwarchod ein lleoliadau cerddoriaeth fyw.""",AC y Blaid yn galw am warchod lleoliadau cerddoriaeth fyw,link,http://www2.plaid.cymru/livemusic_cerddbyw,2017-04-10 09:35:06,11,0,0,11,0,0,0,0,0
26416930992_10155030164310993,"""The proposals for Womanby Street should be rejected unless there are cast-iron guarantees that the existing live music premises will not be affected.

""Our Senedd needs to listen to the thousands of people who have taken the time to sign the petition, because we need a change in planning law, and I call upon everybody present to ensure that we change the law here in Wales and protect our live music venues.""",Plaid AM calls for protection of live music venues,link,http://www2.partyof.wales/livemusic_cerddbyw,2017-04-10 09:34:11,51,3,10,50,1,0,0,0,0
26416930992_10155029718405993,"'It's time that communities voted for a party that will look after their needs' - Nasir Adam 
Rhannwch: Nasir o Butetown, Caerdydd yn esbonio pam ei fod yn sefyll dros Blaid Cymru yn yr etholiad hwn / Share: Nasir from Butetown, Cardiff explaining why he's standing for Plaid in this election. #Plaid17","Nasir Adam, Butetown",video,https://www.facebook.com/PlaidCymruWales/videos/10155029718405993/,2017-04-10 06:22:22,38,3,44,37,1,0,0,0,0
26416930992_10155026942125993,,Steffan Lewis,link,https://www.thetimes.co.uk/edition/comment/hands-off-our-parliament-why-plaid-cymru-is-opposing-a-westminster-power-grab-0zm03ld5t,2017-04-09 12:03:10,81,0,0,78,3,0,0,0,0
26416930992_10155019464815993,Not the most conventional of headlines by the Daily Post... but thanks for covering our manifesto launch guys 🍺 #Plaid17,Plaid Cymru's manifesto launch at Wrexham beer base...to prove it can organise a p**s up in a brewery,link,http://www.dailypost.co.uk/news/north-wales-news/plaid-cymrus-manifesto-launch-wrexham-12860250,2017-04-07 07:43:01,213,25,54,179,3,1,30,0,0
26416930992_10155019277825993,"""Plaid Cymru's manifesto for the local elections is an ambitious programme for strengthening our communities by caring for our people and defending our children's future."" - Leanne Wood",2017 Local Government Manifesto,link,http://www2.partyof.wales/2017manifesto,2017-04-07 06:01:26,30,1,14,28,2,0,0,0,0
26416930992_10155016083715993,"""Germany's deposit-return scheme is the most successful in the world. That's been in place since 2003. A charge of 25 euro cent is applied to all drink containers apart from milk and fruit and vegetable juices. As a result, 98.5 per cent of refillable bottles are returned by consumers, and this is the point: the quality of recovered material is good enough to guarantee that an old bottle will become a new bottle.

""So, many stakeholders, from the marine and environmental sectors to people like the Bevan Foundation, are calling for a tax on polystyrene to reduce its use, or even to drive out its use with more environmentally friendly alternatives. I think such legislation could deal with and help reduce waste enormously in Wales, but, more importantly, put us at the forefront of thinking in a European context.""",PLAID CYMRU SECURE ASSEMBLY SUPPORT FOR DEPOSIT RETURN SCHEME,link,http://www2.partyof.wales/cab_drs,2017-04-06 10:34:03,153,10,58,149,4,0,0,0,0
26416930992_10155016083040993,"""Cynllun ad-dalu blaendal yr Almaen yw'r cynllun fwyaf llwyddiannus yn y Byd. Ers 2003, mae cost ychwanegol o 25 cent wedi'i ychwanegu i bob cynhwysydd diod heblaw am laeth a sudd ffrwythau a llysiau. O ganlyniad i hyn, mae 98.5% o boteli hail-lenwi yn cael eu dychwelyd a gan amlaf, mae ansawdd y deunydd yn ddigon da i sicrhau bod modd ail-ddefnyddio'r hen botel.

""O'r sectorau morol ac amgylcheddol i sefydliadau megis Sefydliad Bevan, mae rhanddeiliaid yn galw ar dreth bolystyren i leihau neu waredu ei ddefnydd gan ddefnyddio dewisiadau eraill sy'n well i'r amgylchedd. Rwy'n credu y gall deddfwriaeth o'r fath helpu lleihau gwastraff yng Nghymru, ond yn bwysicach, rhoi Cymru ar flaen y gad am ailgylchu yn Ewrop.""",Plaid Cymru yn sicrhau cefnogaeth y Cynulliad am gynllun ad-dalu blaendal,link,http://www2.plaid.cymru/cab_drs,2017-04-06 10:33:40,12,0,2,12,0,0,0,0,0
26416930992_10155015858120993,"""Mae Plaid Cymru, fel yr unig blaid sydd wedi ei lleoli yng
Nghymru yn unig, yn sefyll yn yr etholiad hwn fel plaid leol y
bobl.""

Gallwch ddarllen ein maniffesto Llywodraeth Leol yma: http://www2.plaid.cymru/2017manifesto

""Plaid Cymru, as the only party based entirely in Wales, is
standing in this election as the people's local party.""

You can read our Local Government manifesto here: http://www2.partyof.wales/2017manifesto",Maniffesto Llywodraeth Leol 2017,link,http://www2.plaid.cymru/2017manifesto,2017-04-06 09:07:28,24,0,19,24,0,0,0,0,0
26416930992_10155012903140993,"Mae Tariq Awan yn sefyll i gael ei ailethol dros Blaid Cymru yn Grangetown, Caerdydd. Rhannwch ei neges o obaith. / Tariq Awan is standing for reelection for Plaid Cymru in Grangetown, Cardiff. Share his message of hope. Cardiff Plaid Caerdydd Cardiff South & Penarth Plaid Cymru De Caerdydd a Phenarth",'Plaid is Here to Build Bridges' - Tariq Awan,video,https://www.youtube.com/watch?v=pfJDYceibE0&list=PLGyp4pYh4yyspuwr24NEt1kQL0mW29mV3&index=28,2017-04-05 14:49:40,37,1,7,36,1,0,0,0,0
