status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
111956985487415_1718383074844790,"Every day we're hearing about more cuts to education services as a result of the failure to agree a budget.

Our children shouldn't be punished for a failure of politics says Colin McGrath.",Are children suffering the most from the political crisis?,link,http://www.sdlp.ie/news/2017/children-suffering-most-from-political-crisis/,2017-04-11 05:08:52,1,0,0,1,0,0,0,0,0
111956985487415_1717305984952499,"#OnThisDay 19 years ago the Good Friday Agreement was signed, paving the way for a new period of peace and local democracy.

Watch as Colum Eastwood MLA argues that the Agreement can be used today to defend our people from the impact of #Brexit.",Can the Good Friday Agreement help us with Brexit?,video,https://www.facebook.com/SocialDemocraticLabourParty/videos/1717305984952499/,2017-04-10 05:26:32,43,0,28,39,3,0,1,0,0
111956985487415_1704246609591770,"Northern Ireland is the area of these islands that will suffer the most from Brexit.

Do you trust the Tories to stand up for us?

Neither do we! Join our campaign today - www.sdlp.ie/about/get-involved",Timeline Photos,photo,https://www.facebook.com/SocialDemocraticLabourParty/photos/a.286168504732928.91857.111956985487415/1704246609591770/?type=3,2017-03-30 07:13:17,100,1,18,100,0,0,0,0,0
111956985487415_1704185809597850,"Did Paul Givan get a light touch after committing an offence by lighting a bonfire because he was a Minister?

Pat Catney MLA has written to the Northern Ireland Environment Agency to ask exactly what happened.","After 8 months silence, Stormont admits DUP's Paul Givan was investigated over bonfire",link,http://www.irishnews.com/news/2017/03/30/news/niea-confirms-dup-s-paul-givan-was-investigated-for-lighting-bonfire-982465/,2017-03-30 05:32:06,21,2,1,18,0,0,0,0,3
111956985487415_1703395843010180,Tá an SDLP fíorbhródúil bheith ag obair ar son Acht na Gaeilge #AchtGaeilgeAnois,Photos from Social Democratic and Labour Party (SDLP)'s post,photo,https://www.facebook.com/SocialDemocraticLabourParty/photos/a.286168504732928.91857.111956985487415/1703394983010266/?type=3,2017-03-29 10:22:34,42,3,4,41,1,0,0,0,0
111956985487415_1703322013017563,"Triggering Article 50 against the will of our people and while we have no functioning Executive in place is an act of savagery against our democracy.

All parties must now unite behoind a common position on Brexit that protects the interests of the people we represent. Colum Eastwood MLA",SDLP Leader calls for united front on Brexit,link,http://www.sdlp.ie/news/2017/eastwood-calls-for-united-front-on-brexit/,2017-03-29 08:46:08,48,5,10,48,0,0,0,0,0
111956985487415_1702310656452032,"The British Government has conceded the SDLP argument that, unlike any other part of these islands, we have a direct path back into the European Union.",Eastwood welcomes British Government concession on path to EU membership,link,http://sdlp.ie/news/2017/eastwood-welcomes-british-government-concession-on-path-to-eu-membership/,2017-03-28 09:12:43,96,3,20,89,4,1,1,0,1
111956985487415_1702128356470262,"As the future of devolution hangs in the balance, Theresa May and her band of Brexiteers are contiuing their Article 50 triggering tour. 

Colum Eastwood MLA spoke to The National Newspaper about the Tory Prime Minister's total disengagement with attempts to save power sharing.",May slammed over going to Scotland instead of focusing on Stormont crisis,link,http://www.thenational.scot/news/15185354.May_slammed_over_going_to_Scoand_instead_of_focusing_on_Stormont_crisis/?ref=mr&lp=19,2017-03-28 04:39:16,47,7,1,47,0,0,0,0,0
111956985487415_1701062639910167,"There was, and there remains, a mandate for creative compromise to form a government. The DUP just doesn't get it. Colum Eastwood MLA",SDLP Leader calls for space for refreshed dialogue,link,http://www.sdlp.ie/news/2017/eastwood-space-needed-for-a-new-deal/,2017-03-27 04:09:58,46,1,5,46,0,0,0,0,0
111956985487415_1697986230217808,"The deadline to find agreement is fast approaching. 
Time for all parties to work together to secure devolution.",Timeline Photos,photo,https://www.facebook.com/SocialDemocraticLabourParty/photos/a.286168504732928.91857.111956985487415/1697986230217808/?type=3,2017-03-24 08:43:14,34,0,13,31,3,0,0,0,0
111956985487415_1697829020233529,We are prepared to work up to the wire to resolve the challenges facing us. Nichola Mallon,Stormont talks planned into weekend as deadline looms,link,http://www.irishnews.com/news/politicalnews/2017/03/24/news/stormont-talks-planned-into-weekend-as-deadline-looms-976255/,2017-03-24 05:01:16,41,0,5,41,0,0,0,0,0
111956985487415_1695844380431993,We should all reflect on Martin McGuinness' generosity of spirit and together build a society that all of us can be proud of. - Colum Eastwood,,video,https://www.facebook.com/SocialDemocraticLabourParty/videos/1695844380431993/,2017-03-22 10:26:18,144,3,23,142,2,0,0,0,0
111956985487415_1694943537188744,SDLP Leader Colum Eastwood reflecting on Martin McGuinness' contribution to peace and politics on this island this evening.,,video,https://www.facebook.com/SocialDemocraticLabourParty/videos/1694943537188744/,2017-03-21 14:21:38,84,2,18,80,4,0,0,0,0
111956985487415_1694451577237940,"""The generosity that he displayed in developing relationships with Ian Paisley and Peter Robinson demonstrated a rare gift that came as much from his personality as his politics. It is that gift which is needed in our politics at this moment."" - Colum Eastwood SDLP Leader",Eastwood expresses condolences following passing of Martin McGuinness | 2017 | News,link,http://sdlp.ie/news/2017/eastwood-expresses-condolences-following-passing-of-martin-mcguinness/,2017-03-21 02:11:14,250,4,31,227,3,0,0,20,0
111956985487415_1693855207297577,"Today Theresa May unilaterally decided to invoke Article 50 next week while there's no government in Northern Ireland. 

Colum Eastwood MLA has responded by calling for strength from the devolved administrations. 

📖 Read more http://sdlp.ie/news/2017/eastwood-calls-for-common-position-on-brexit-from-talks/",Timeline Photos,photo,https://www.facebook.com/SocialDemocraticLabourParty/photos/a.286168504732928.91857.111956985487415/1693855207297577/?type=3,2017-03-20 12:11:22,33,0,6,33,0,0,0,0,0
111956985487415_1693557107327387,"One week left in the talks and it's clear we're in the last chance saloon. 

The public gave us a very clear message on 2nd March - work together and get an Executive up and running.",'Last chance saloon' as Stormont talks enter third week,link,http://www.itv.com/news/utv/2017-03-19/last-chance-saloon-as-stormont-talks-enter-third-week/,2017-03-20 05:03:47,20,2,1,20,0,0,0,0,0
111956985487415_1689644544385310,"£369,000,000.

To refurbish a palace. 

While homelessness increases. While family support services are under threat. While people here struggle. 

Our MPs voted against this ludicrous waste of money.",The MPs who voted against Buckingham Palace's £369m refurbishment,link,https://inews.co.uk/essentials/news/politics/mps-voted-giving-buckingham-palace-multi-million-pound-refurbishment/,2017-03-16 09:13:02,91,17,19,75,0,2,1,0,13
111956985487415_1689507521065679,"The story of this island and of the Irish people is one of travel and traversing the the world. Integrating and influencing communities across the globe. 

Our values are in distinct opposition to those Displayed by Donald Trump. Colum Eastwood sends support to Irish Stand from Belfast and confirms his pledge not to attend the Trump White House to sip champagne with someone who stands for division and discrimination.",,video,https://www.facebook.com/SocialDemocraticLabourParty/videos/1689507521065679/,2017-03-16 06:16:13,86,11,18,78,7,0,0,1,0
111956985487415_1689088011107630,"Dolores Kelly just gave Edwin Poots a reality check on the Stephen Nolan show. 

All the spin in the world can't distract from the poverty and child poverty in this society.",Dolores Kelly gives Edwin Poots a reality check,video,https://www.facebook.com/SocialDemocraticLabourParty/videos/1689088011107630/,2017-03-15 18:30:18,96,14,19,91,5,0,0,0,0
111956985487415_1688696084480156,"""I am not an expert on that"" - You can say that again! 

David Davis is completely out of his depth as Mark Durkan grills the Brexit Minister on how the Tory's ill-conceived hard Brexit will impact Ireland.

Makes you wonder if he even read the Good Friday Agreement before deciding to undermine it.",Mark Durkan grills Brexit Minister,video,https://www.facebook.com/SocialDemocraticLabourParty/videos/1688696084480156/,2017-03-15 12:00:06,78,4,43,70,0,1,0,0,7
111956985487415_1688650087818089,"Halfway through the time available for talks and there still hasn't been a full round table involving all parties and both governments.

It's time for things to ratchet up a gear.",Eastwood calls for talks to 'ratchet up a gear',link,http://www.sdlp.ie/news/2017/eastwood-talks-must-now-ratchet-up-a-gear/,2017-03-15 08:54:06,41,0,8,41,0,0,0,0,0
111956985487415_1687669154582849,"Triggering Article 50 will shift the tectonic plates of our constitutional landscape.

Foyle MP and former deputy First Minister Mark Durkan joined Adam Boulton on Sky News this morning with Joanna Cherry MP and Jonathan Edwards AS/MP to talk about defending devolution and the Good Friday Agreement in the face of Brexit.",Defending devolution from Brexit,video,https://www.facebook.com/SocialDemocraticLabourParty/videos/1687669154582849/,2017-03-14 08:50:43,22,1,3,22,0,0,0,0,0
111956985487415_1686458341370597,The depths that this British government will plumb in an insidious effort to dehumanise European citizens living here never ceases to surprise. Colum Eastwood MLA,SDLP MPs to defend rights of EU residents,link,http://www.sdlp.ie/news/2017/sdlp-mps-vote-to-defend-rights-of-eu-residents/,2017-03-13 12:48:19,61,1,2,57,3,0,1,0,0
111956985487415_1681038921912539,"Approaching the conclusion of week 1 in negotiations, Colum Eastwood MLA calls on parties to commit to an intense and inclusive effort to resolve legacy matters.

📖 Read more from the SDLP Leader below on the past, Brexit and reimagining North/South.",SDLP Leader calls for Intense efforts to resolve legacy,link,http://www.sdlp.ie/news/2017/intense-efforts-required-to-resolve-legacy/,2017-03-10 09:38:39,20,1,2,19,1,0,0,0,0
111956985487415_1678808232135608,"""Government based on degrading and denigrating others must now be at an end."" 🙌🏻

📖 Read more from Colum Eastwood MLA on the need to restore power sharing in these negotiations.",Negotiations must deliver a return to power sharing,link,http://sdlp.ie/news/2017/negotiations-must-deliver-a-return-to-power-sharing/,2017-03-08 17:32:07,35,1,23,35,0,0,0,0,0
111956985487415_1672156359467462,Polls have closed! Well done to everyone who voted today and thank you to everyone who voted to #MakeChangeHappen #AE17,Timeline Photos,photo,https://www.facebook.com/SocialDemocraticLabourParty/photos/a.286168504732928.91857.111956985487415/1672156359467462/?type=3,2017-03-02 17:00:00,135,1,11,125,9,0,1,0,0
111956985487415_1672197016130063,"There is so much at stake in this election. 
Defend Devolution. Stop Direct Rule. Vote SDLP 
Colum Eastwood #MakeChangeHappen #AE17","Defend Devolution, Vote SDLP",video,https://www.facebook.com/SocialDemocraticLabourParty/videos/1672197016130063/,2017-03-02 16:14:10,37,0,4,37,0,0,0,0,0
111956985487415_1671787039504394,"Your vote has never been more powerful! (Although maybe not as powerful as one of Rosa's side swipes with Mr Owl!).

Whatever you do today, use your power. Vote to make change happen! Colum Eastwood",,video,https://www.facebook.com/SocialDemocraticLabourParty/videos/1671787039504394/,2017-03-02 07:04:16,112,3,20,108,4,0,0,0,0
111956985487415_1671754142841017,,Claire Hanna,video,https://www.facebook.com/ClaireHannaSDLP/videos/1875029216119316/,2017-03-02 06:12:38,25,1,0,25,0,0,0,0,0
