status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
209101162445115_1426435600711659,"UKIP Leader Paul Nuttall: ""So while the cosy establishment are peddling a line that our inaction over Syria means we are culpable for some of the blame of what has happened there, they don't seem to realise that the wrong type of action would lead to something far worse.

The establishment media used to make huge play of referring to IS as 'the so called Islamic State', but if Assad is forced to leave in the chaotic way that other leaders have been ousted, IS will soon have its own nation. Then we'll be fighting them over here and the saddest thing is that it will be all our own fault.""",NUTTALL: Oust Assad and Syria will be far more dangerous,link,http://www.westmonster.com/nuttall-oust-assad-syria-will-be-far-more-dangerous/,2017-04-11 03:41:36,284,61,34,271,12,0,0,1,0
209101162445115_1424381367583749,,Paul Nuttall MEP,link,http://www.dailymail.co.uk/news/article-4394366/Britain-s-bloated-foreign-aid-budget-spotlight.html,2017-04-09 05:01:32,1855,233,0,1632,37,6,4,4,172
209101162445115_1423454097676476,"This week, UKIP tabled around 10 amendments to the European Parliament's Brexit Resolution. From ending free movement of people to regaining sovereignty over UK fishing waters, The Labour Party voted AGAINST every single amendment! 

SHARE if you voted for Brexit and you voted to stop sending millions of pounds to Brussels!",Nathan Gill AM MEP,video,https://www.facebook.com/NathanGillOfficial/videos/1947273465492995/,2017-04-08 08:22:28,1633,233,0,1292,18,4,4,6,309
209101162445115_1423321997689686,Read UKIP Leader Paul Nuttall's take on the U.S. air strike: It could lead to an escalation of hostilities and lead to more deaths.,"What's worse than Syrian children dying? MORE Syrian children dying, says PAUL NUTTALL",link,http://www.express.co.uk/comment/expresscomment/789289/Paul-Nuttall-Syria-what-is-worse-children-dying-chemical-gas-attack,2017-04-08 05:42:16,274,139,31,237,4,0,2,10,21
209101162445115_1422219537799932,"Paul Nuttall, the UKIP leader has condemned the missile attack on Syria as, ""rash, trigger happy, nonsensical and will achieve nothing.""

""The whole world rightly condemns the use of chemical weapons in Syria, but the US attack on the Assad regime does nothing to lower tensions, nor will it hasten peace in that country.

""Too often rash responses to horrific situations are about the conscience of the attacker, rather than a clear-headed response to an awful situation.

""There are currently no good options in Syria. Assad or ISIS is not a choice anyone would wish to make. But firing off missiles in an enraged response shows weakness not strength in the face of horror.

""I hoped for better from this administration.""",,status,,2017-04-07 03:53:00,536,283,76,477,5,10,5,3,36
209101162445115_1419977748024111,"UKIP's Foreign and Commonwealth Affairs spokesman James Carver MEP: ""I find it incredible that shortly after the Spanish Foreign Minister has called for calm, the Spanish government order their warship to illegally enter British sovereign territory in an attempt to frighten and bully the people of Gibraltar.

""I am not surprised, however this is the 100th incursion since 2014, and follows a pattern of Spanish contempt for the Law of the Sea and more widely, international agreements that do not suit their narrow, self -serving agenda"".",UKIP's Foreign and Commonwealth Affairs spokesman condemns Spanish incursion into Gibraltar waters,link,http://www.ukip.org/ukip_s_foreign_and_commonwealth_affairs_spokesman_condemns_spanish_incursion_into_gibraltar_waters,2017-04-05 15:50:00,562,139,109,428,11,3,2,1,117
209101162445115_1420371414651411,WATCH: Nigel Farage has once again told the European Parliament EXACTLY what he thinks.,Nigel Farage,video,https://www.facebook.com/nigelfarageofficial/videos/1305082732872660/,2017-04-05 13:11:45,2846,296,0,2535,230,12,67,0,2
209101162445115_1420147618007124,"The European Parliament has today rejected a string of UKIP amendments on protecting Gibraltar, controlling immigration and ending domination of EU courts. 

What's worse all of these amendments were voted down today with help from Labour MEPs. We know their leader won't even sing the national anthem but why don't they start playing for Team GB in Brussels and Strasbourg?",MEPs REJECT string of amendments protecting Gibraltar and controlling immigration in Brexit talks,link,https://www.thesun.co.uk/news/3261310/european-parliament-rejects-string-of-amendments-gibraltar-immigration-brexit/amp/,2017-04-05 08:54:35,1576,374,511,852,9,42,10,15,648
209101162445115_1419918948029991,"A solution to prevent Gibraltar being used as a pawn in Brexit talks - give them representation in Westminster!

Share if you agree with UKIP Leader Paul Nuttall.",A solution to prevent Gibraltar being used as a pawn in Brexit...,video,https://www.facebook.com/UKIP/videos/1419918948029991/,2017-04-05 04:29:47,1930,148,558,1843,78,1,5,0,3
209101162445115_1419841208037765,UKIP MEPs will be taking part in a European Parliament debate on Brexit this morning. UKIP Leader Paul Nuttall MEP will be speaking after 9am - but coming up before that will be Nigel Farage - watch it here:,European Parliament Brexit Debate,link,http://www.europarl.europa.eu/plenary/en/home.html,2017-04-05 02:28:41,97,32,14,91,2,0,4,0,0
