status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
105732052794210_1564334313600636,Party press conference on the ongoing talks at Stormont,,video,https://www.facebook.com/democraticunionistparty/videos/1564334313600636/,2017-04-10 09:49:31,287,129,32,250,20,0,3,1,13
105732052794210_1557166607650740,Diane Dodds MEP addressing MEPs in Strasbourg today on the border between the Republic of Ireland and Northern Ireland.,Diane Dodds,video,https://www.facebook.com/DianedoddsMEP/videos/922700467870431/,2017-04-05 10:51:38,175,9,0,173,2,0,0,0,0
105732052794210_1554707111230023,"Coverage of our press conference at Stormont today, following the re-starting of talks.",Belfast Telegraph,video,https://www.facebook.com/belfasttelegraph/videos/10154996500023819/,2017-04-03 11:25:40,86,6,0,86,0,0,0,0,0
105732052794210_1551434358223965,Best wishes to Cllr Hogg as he prepares to leave for Afghanistan with the Royal Irish Regiment.,Arlene Foster,photo,https://www.facebook.com/ArleneFosterMLA/photos/a.989671264460678.1073741827.984945704933234/1356793544415113/?type=3,2017-03-31 15:30:57,274,15,0,269,5,0,0,0,0
105732052794210_1550961558271245,,,status,,2017-03-31 06:22:01,78,1,6,78,0,0,0,0,0
105732052794210_1550939958273405,"Edwin Poots commenting on the latest cancer waiting figures. 
Whilst Sinn Fein has been blocking the formation of an Executive we want to see local Ministers back at their desks, working on issues like this.",O'Neill 'putting Sinn Fein before cancer patients',link,http://www.newsletter.co.uk/news/health/o-neill-putting-sinn-fein-before-cancer-patients-1-7893384,2017-03-31 05:54:44,134,17,30,114,1,0,1,3,15
105732052794210_1549035471797187,"""The United Kingdom is far more important for the economic and political prosperity of our people than the European Union"" 
The message from Nigel Dodds as the Prime Minister triggered Article 50 to leave the EU.",,video,https://www.facebook.com/democraticunionistparty/videos/1549035471797187/,2017-03-29 10:09:08,328,20,46,312,13,0,0,0,3
105732052794210_1547980798569321,"The DUP is ready and willing to form an Executive. We need a budget and we need functioning devolution.
Sinn Fein walked away in January, and they did the same yesterday.",,video,https://www.facebook.com/democraticunionistparty/videos/1547980798569321/,2017-03-28 07:27:14,288,35,103,277,2,0,1,2,6
105732052794210_1547869551913779,"9,000 Thank Yous.  
Keep liking and sharing the page.",Timeline Photos,photo,https://www.facebook.com/democraticunionistparty/photos/a.130975336936548.16016.105732052794210/1547869551913779/?type=3,2017-03-28 04:54:21,584,12,83,577,5,0,0,1,1
105732052794210_1543801595653908,Arlene Foster and Nigel Dodds went to Belfast City Hall today to sign the book of condolence for the victims of the terrorist attack in London on Wednesday.,,video,https://www.facebook.com/democraticunionistparty/videos/1543801595653908/,2017-03-24 12:16:08,395,22,54,372,11,1,0,7,4
105732052794210_1542471852453549,Nigel Dodds speaking in Parliament this morning during the statement on yesterday's attacks in Westminster.,,video,https://www.facebook.com/democraticunionistparty/videos/1542471852453549/,2017-03-23 06:22:04,172,5,15,168,4,0,0,0,0
105732052794210_1542449812455753,"Arlene Foster writing in today's Belfast Telegraph: 

""There would have been no need for a peace process if there had been no terrorism.
But we must deal with reality and Northern Ireland must draw on the lessons from Martin McGuinness's life.""","Arlene Foster: This will be a difficult day, for many different reasons",link,http://www.belfasttelegraph.co.uk/opinion/news-analysis/arlene-foster-this-will-be-a-difficult-day-for-many-different-reasons-35557076.html,2017-03-23 05:51:09,349,83,21,322,9,0,1,3,14
105732052794210_1536470133053721,,Arlene Foster,photo,https://www.facebook.com/ArleneFosterMLA/photos/a.989671264460678.1073741827.984945704933234/1343754639052337/?type=3,2017-03-17 13:04:17,170,15,0,163,6,0,1,0,0
105732052794210_1532572710110130,,Gavin Robinson,video,https://www.facebook.com/GRobinsonDUP/videos/1273758396051928/,2017-03-13 13:44:03,68,5,0,63,3,0,1,1,0
105732052794210_1383092308391505,,Democratic Unionist Party's cover photo,photo,https://www.facebook.com/democraticunionistparty/photos/a.361505360550210.89697.105732052794210/1383092308391505/?type=3,2017-03-06 06:55:28,281,13,5,271,5,0,2,0,3
