status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
25749647410_10154410254217411,,Jeremy Corbyn,link,https://www.facebook.com/JeremyCorbynMP/posts/10155242754223872,2017-04-10 13:46:15,216,32,0,196,14,0,4,0,2
25749647410_10154409637507411,"Today we announced our plans for a real Living Wage of £10 per hour, giving 5.6 million workers a pay rise. Share this ↓",www.labour.org.uk,link,http://www.labour.org.uk/page/-/GIFs/9411_17-Living-Wage-GIF.GIF,2017-04-10 11:03:15,886,152,566,811,45,6,18,2,4
25749647410_10154409052682411,"The Tories are taking our country backwards – and it's working families that are paying the price. Only Labour will stand up for you, by investing in a better Britain. Share this ↓",Labour will invest in a better Britain,video,https://www.facebook.com/labourparty/videos/10154409052682411/,2017-04-10 03:55:39,1030,151,1631,895,44,4,7,11,69
25749647410_10154392888542411,"If you're not sure how differently Labour & the Tories view our children's education, take a look at this and pass it on ↓ www.labour.org.uk/education","One child, two very different journeys through education.",link,http://www.labour.org.uk/education,2017-04-09 13:01:00,74,20,34,73,1,0,0,0,0
25749647410_10154399502137411,"A staggering 1,240 Sure Start centres have been lost since 2010 under the Tories. Labour will stand up for working families. Hit share so people know ↓",,video,https://www.facebook.com/labourparty/videos/10154399502137411/,2017-04-09 06:31:00,937,92,789,611,7,5,3,85,226
25749647410_10154399624662411,Labour will fund free school meals for all primary school children. Back our plan and pass this on → labour.org.uk/school-meals,,video,https://www.facebook.com/labourparty/videos/10154399624662411/,2017-04-09 02:44:46,1228,151,209,1120,86,3,10,2,7
25749647410_10154399613277411,"This week Jeremy Corbyn and Angela Rayner announced our plan to fund free school meals for all primary school children. Here they are meeting kids and parents in Leyland, and explaining more about our policy ↓",Our free school meals plan,video,https://www.facebook.com/labourparty/videos/10154399613277411/,2017-04-08 06:28:00,938,110,168,824,102,1,6,0,5
25749647410_10154400350112411,,Jeremy Corbyn,video,https://www.facebook.com/JeremyCorbynMP/videos/10155231144138872/,2017-04-07 11:43:34,1481,229,0,1371,77,1,5,8,19
25749647410_10154399456327411,,Jeremy Corbyn,link,https://www.facebook.com/JeremyCorbynMP/posts/10155230371108872,2017-04-07 05:29:37,724,162,0,656,28,1,3,27,9
25749647410_10154392877077411,"One child, two very different journeys through education. Take a look at Labour's education timeline, compared to the Tories'. Hit share ↓","One child, two very different journeys through education.",link,http://www.labour.org.uk/education,2017-04-07 01:29:00,55,24,22,47,8,0,0,0,0
