status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5883973269_10155232771738270,"Tim Farron has renewed his call for Theresa May to return from holiday to take charge of the worsening international crisis surrounding Syria, rather than leaving the accident-prone Boris Johnson to negotiate with allies he has previously insulted.

Tim Farron: It is time Theresa May returned to Downing Street to take charge, rather than allowing the court jester to become the crown prince.",Tim Farron: Urgent humanitarian need to protect civilians in Syria,link,http://www.libdems.org.uk/humanitarian-need-protect-civilians-syria,2017-04-11 05:45:15,37,3,6,35,0,0,2,0,0
5883973269_10155203160668270,"""I have two sons aged 14 and 12 who were both born in Barcelona, where we lived for 13 years whilst I set up and ran a destination wedding planning company. Whilst we loved the experience of living in Spain, I have always felt very British as well as European. I was worried by the politics in Catalonia where most Catalans want independence from Spain and I feared things might eventually lead to civil unrest. I wanted the boys to have an English secondary education and for us all to be around my family. I hadn't realised how much I missed my homeland but have loved everything about being back, even the weather...  until Brexit. 

I joined the Lib Dems two days after the referendum and I am now the fundraising manager for Tunbridge Wells Lib Dems. Before now I have never been politically active in my life, other than voting in general elections. I will never vote Conservative or Labour again, who in my opinion have collectively destroyed everything I love about my country. I agree wholeheartedly with the Liberal Democrats' policies and hope that the surge towards fascism will be stopped by the Lib Dem fightback. My country and children's' futures depend on it in my heartfelt opinion.""

Clare Bishop, 44, mother of two",Timeline Photos,photo,https://www.facebook.com/libdems/photos/a.391997008269.171703.5883973269/10155203160668270/?type=3,2017-04-10 12:42:00,353,19,28,321,32,0,0,0,0
5883973269_10155203155543270,"""I was brought up very much as a liberal (with a small L) scientist, taught to form my own opinions and question the status quo. I've voted Lib Dem pretty much all my life. Initially this was to do with occupying the middle ground, but time spent living and working in Germany has made me sensitive to the problems faced by immigrants and understand that all people everywhere should have the same rights. As a scientist I make decisions based on rational reasoning and evidence rather than emotions. That doesn't mean that I don't get emotional though – Brexit makes me very sad and angry!""

Carol Stanier, 40, Freelance Science Editor, Royston, North Herts.",Timeline Photos,photo,https://www.facebook.com/libdems/photos/a.391997008269.171703.5883973269/10155203155543270/?type=3,2017-04-09 11:38:00,247,15,18,229,18,0,0,0,0
5883973269_10155203184128270,"""On 24 June 2016 everything changed. I have two little girls, and was suddenly terrified for the world, the country, even the town I was raising them in. We live on the outskirts of Barnsley, one of the most pro-leave areas of the UK. It suddenly felt like it was no longer enough to sit in my kitchen and complain to my husband about politics. I felt powerless and frustrated and with an overwhelming need to DO something. So I joined the Lib Dems. I've already had the opportunity to work with some incredible campaigners. It's been pretty amazing. And I think the best is yet to come.""

Hannah Kitching, 37, full time mum, Penistone, South Yorks.",Timeline Photos,photo,https://www.facebook.com/libdems/photos/a.391997008269.171703.5883973269/10155203184128270/?type=3,2017-04-08 05:48:00,321,11,25,293,26,0,2,0,0
5883973269_10155203171738270,"""I was born in 1945 whilst the war was still on. I am the son of a refugee and a migrant worker. My father escaped from France and flew with the Free French till just after D Day when he didn't return. My mother came from the Irish Republic to work as a nurse - in those days refugees and immigrants were welcome and needed. 

Why do I support the Lib Dems? I believe in social justice, equality, and since the 60s I have always supported the Liberals when I began to realise what the world was about.  In those days we thought it could only improve, and a lot has, but with the far right putsch since 27% of the population voted for Brexit and May and her clique taking us down a long dark tunnel it is time to stand up and be counted and to try and minimise the damage. You look at the improvements and protections since we joined the EU; if these are rolled back I fear for my children's and grandchildren's future and the future of our country. So let the fight back start.""

Damien Dill, 71, retired finance manager and living in Hereford",Timeline Photos,photo,https://www.facebook.com/libdems/photos/a.391997008269.171703.5883973269/10155203171738270/?type=3,2017-04-07 13:45:00,436,13,34,411,25,0,0,0,0
5883973269_10155215073718270,Tim Farron says the latest welfare cuts are symptomatic of the 'Cruel Britannia' attitude being implemented by the Conservatives - and says it is something to be ashamed of.,Tim Farron attacks 'Cruel Britannia' welfare cuts,video,https://www.facebook.com/libdems/videos/10155215073718270/,2017-04-07 03:45:00,776,41,187,680,58,2,0,32,4
5883973269_10155212801518270,"More great council by-election wins for the Liberal Democrats tonight, including this gain from Ukip. Well done to all our hard working teams right across the country fighting for an open, tolerant and united Britain.",Timeline Photos,photo,https://www.facebook.com/libdems/photos/a.391997008269.171703.5883973269/10155212801518270/?type=3,2017-04-06 18:15:46,1978,67,192,1774,163,34,2,3,2
5883973269_10155209758668270,"We have always been on your side when it really mattered. And now more than ever we need the open, tolerant and united vision of the Liberal Democrats. Share if you agree.",The Liberal Democrats are on your side,video,https://www.facebook.com/libdems/videos/10155209758668270/,2017-04-06 06:05:07,617,44,238,543,64,2,6,0,2
5883973269_10155206349743270,Catherine Bearder MEP sticks it to the Brexiteers who she says lied to us during the EU referendum and insists that the British people MUST have the final say on Theresa May's Brexit deal.,Catherine Bearder MEP: 'The Brexiteers lied to us',video,https://www.facebook.com/libdems/videos/10155206349743270/,2017-04-05 13:12:00,1130,80,271,959,152,2,6,5,6
5883973269_10155205956883270,Given the Government is throwing cash down the drain changing the colour of our passports the least they could do is offer some comfort to individuals who don't want to identify as either male or female and introduce 'x' passports.,UK passports should allow 'X' as an alternative to 'male' or 'female',link,http://www.libdems.org.uk/uk-x-passports-stonewall,2017-04-05 08:53:01,431,140,50,361,25,1,38,1,5
5883973269_10155205660368270,,Tim Farron,note,https://www.facebook.com/notes/tim-farron/tim-farron-welcomes-new-eu-flood-funding/1603892119623320,2017-04-05 03:43:12,193,12,0,178,10,1,3,0,1
5883973269_10155203308263270,Once again Labour has failed to be an effective opposition to this Conservative government. They failed to back our bid to kill Tory restrictions to disability benefit which would leave those with mental illnesses stuck without support.,Labour fail to back Lib Dem bid to kill Tory restrictions to d...,video,https://www.facebook.com/libdems/videos/10155203308263270/,2017-04-05 03:02:00,231,20,110,179,11,0,0,32,9
5883973269_10155203117613270,"""I am a Liberal Democrat because I believe in freedom of thought, freedom of choice and the belief that people should be free to live their lives as they see fit. I believe in opportunity and growth; to provide people with the tools and skills they need to help them carve out their own future. I believe hard work and perseverance should be rewarded, but no one should be punished for circumstances outside of their control. I am a Liberal Democrat because I believe those ideas need to be defended.""

Alex Hegenbarth, 31, Heritage Specialist, Cheltenham",Timeline Photos,photo,https://www.facebook.com/libdems/photos/a.391997008269.171703.5883973269/10155203117613270/?type=3,2017-04-04 13:35:00,258,17,24,242,15,0,1,0,0
5883973269_10155202710723270,Duterte is one of the 21st century's most sinister leaders and Liam Fox has flown halfway around the world to grovel to him. It shows just how low this government is willing to stoop in order to secure even a minimal trade deal in the future.,Liam Fox flies into Philippines to grovel to sinister president for Brexit trade deal,link,http://www.libdems.org.uk/liam-fox-philippines-brexit-trade-deal,2017-04-04 09:25:00,470,61,210,197,3,9,6,51,204
5883973269_10155202628653270,Shoppers feeling Brexit squeeze as supermarket prices rise 2.3%,,status,,2017-04-04 05:25:30,169,31,40,81,1,3,1,39,44
5883973269_10155200297253270,"Have your say on our future policies. Member or not, this is your chance to make your voice heard. You have until April 14 to tell us what you think about these four topics.",Liberal Democrats,link,http://www.libdems.org.uk/industrial_survey,2017-04-03 11:59:24,57,8,25,55,2,0,0,0,0
5883973269_10155198914138270,"Thanks to George Osborne's welfare cuts legacy, April truly is the cruellest month for some of the poorest in our society.","Poor Families To Lose £7,000-A-Year Under Tory 'Two-Child' Policy",link,http://www.huffingtonpost.co.uk/entry/tory-welfare-cuts-cost-7000-a-year-april-is-the-cruellest-month-farron-osborne-legacy_uk_58e1f926e4b0c777f78874bd?evka8xbfz9eh4cxr,2017-04-03 05:41:00,318,58,121,126,1,4,2,61,124
5883973269_10155198704213270,"Tim Farron reveals in The Independent that many moderate Conservative and Labour MPs acknowledge to him in private that the Liberal Democrats are much, much nearer to their outlook than their current political home.",The British public don't need a new centre ground party to fight a Tory hard Brexit – they already have one,link,http://www.independent.co.uk/voices/brexit-theresa-may-tim-farron-brexit-centre-ground-liberal-democrats-a7662861.html,2017-04-03 01:31:23,949,36,135,873,57,0,19,0,0
