status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
148726998530273_1255083824561246,"This young Irish boy was shot dead in his own city by a foreign soldier. It took 45 years for the truth to be wrested from the British. 

This is the reality of what people in the North had to endure and it is because of acts like this that so many ordinary people felt the need to fight back against the forces of the British state and the one-party unionist regime. 

Times are different now thanks to many of those same people – such as Martin McGuinness – who took risks for peace.",Derry 15-year-old shot dead by British sniper was not carrying rifle – coroner's judgment 45 years later | An Phoblacht,link,http://www.anphoblacht.com/contents/26802,2017-04-11 04:00:28,663,19,131,498,4,0,0,88,73
148726998530273_1254031857999776,"At a time when people are still struggling to put food on the table and our old-age pensioners are told to make do with a measly €5 increase, it is outrageous that TDs should get a pay increase of €5,000 to bring overall salaries to €92,000 each (and more for Ministers)! 

Sinn Féin TDs have all signed waivers to forego this pay rise.

Unfortunately TDs from Fianna Fáil, Fine Gael, Labour Party, Green Party and Solidarity/PBP have all said they will take the pay hike","Sinn Féin TDs return politicians pay rises, calling them ""unfair""",video,https://www.facebook.com/sinnfein/videos/1254031857999776/,2017-04-10 10:00:00,669,47,355,592,23,2,0,0,52
148726998530273_1254037891332506,Sinn Féin MLA Michelle O'Neill has said there is no prospect of political agreement unless the British government and DUP address the fundamental issues in the current talks.,No prospect of agreement if fundamental issues are not address...,video,https://www.facebook.com/sinnfein/videos/1254037891332506/,2017-04-10 08:02:11,475,34,140,455,14,0,0,0,6
148726998530273_1252128874856741,"""This is what democracy looks like"" – Mary Lou McDonald TD addressing the huge Right2Water rally in Dublin today calling on the government to scrap water charges once and for all – and warning Fine Gael against attempting to overturn the democratic will of the people",Mary Lou McDonald at Right2Water protest,video,https://www.facebook.com/sinnfein/videos/1252128874856741/,2017-04-08 12:42:37,1332,90,1001,1221,95,12,2,0,2
148726998530273_1252067258196236,"The decision by ETA to complete the process of putting its weapons beyond use is historic. It creates a unique opportunity which the Spanish and French governments, and the political parties in the region, must urgently grasp.

Sinn Féin want to congratulate all of those involved in this initiative. It is clear evidence of the desire of the pro-independence parties in the Basque country to continue to build the peace process.

The Basque people have repeatedly demonstrated in elections and on the streets their support for a peaceful resolution of the conflict in that region. The initiative by ETA is an opportunity that must not be squandered.

We would appeal to the Spanish and French governments to demonstrate generosity in their response to this development and for the Spanish government to address the issue of political prisoners.

As a first step both should engage in dialogue with the representatives of all of the Basque people. Addressing the treatment of Basque political prisoners – including ending the policy of dispersal of Basque prisoners and moving those who are a significant distance from their families closer to their homes - previous to an early release process – would also be an important confidence building measure.",Adams welcomes ETA move on weapons,video,https://www.facebook.com/sinnfein/videos/1252067258196236/,2017-04-08 11:42:35,686,15,208,656,26,3,0,0,1
148726998530273_1250909898311972,"At the end of the first week of talks at Stormont, Sinn Féin MLA Conor Murphy has said the British government and the DUP are blocking progress.",British government and DUP blocking talks progress,video,https://www.facebook.com/sinnfein/videos/1250909898311972/,2017-04-07 13:45:25,237,8,62,213,0,2,0,10,12
148726998530273_1250721934997435,Sinn Féin Ireland South MEP Liadh Ni Riada and GUE/NGL hosted a delegation representative of the Irish Fishing industry along with a number of Sinn Féin elected representatives from across Ireland to the European Parliament in Brussels . They meet with EU officials and other MEPs  to tell their story as to how Brexit will make a bad situation even worse for the costal and rural communities of Ireland.,,video,https://www.facebook.com/sinnfein/videos/1250721934997435/,2017-04-07 10:25:04,135,4,43,130,5,0,0,0,0
148726998530273_1250479805021648,"A €5,000 increase in TDs pay while bus workers face a 30% pay cut? No way!

Imelda Munster TD and all our other Sinn Féin TDs returned this unjust pay hike to the exchequer",Imelda Munster TD criticises pay hikes for TDs while workers f...,video,https://www.facebook.com/sinnfein/videos/1250479805021648/,2017-04-07 05:21:14,936,76,413,827,12,4,3,5,85
148726998530273_1249923601743935,Sinn Féin MLA Pat Sheehan joined protesters at a demonstration outside the offices of the Education Authority against cuts to funding for Irish language youth provision.,Protest told Irish language will not be used as a punch bag,video,https://www.facebook.com/sinnfein/videos/1249923601743935/,2017-04-06 16:53:45,192,2,48,187,5,0,0,0,0
148726998530273_1249848048418157,"""Currently Sinn Féin is stronger than at any time since partition. But if we want to achieve our political goals we need to build even greater political strength, as well as building alliances with others.

""It is of crucial importance that Sinn Féin also actively seeks to win social and economic rights for everyone. The best way to do that is to work in tandem with those who are denied those rights so that there is a real depth to our campaigning.""

Read Gerry Adams TD column here: http://www.anphoblacht.com/contents/26797",Celebrate and organise – Gerry Adams | An Phoblacht,link,http://www.anphoblacht.com/contents/26797,2017-04-06 14:29:57,488,6,98,467,21,0,0,0,0
