status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
77249349077_10155302127594078,"🎥 Watch Alenka from Falkirk on why she supports Scotland's Referendum. 

✍️ You can pledge your support here: https://goo.gl/MD8wtn",Alenka from Falkirk on Scotland's Referendum,video,https://www.facebook.com/theSNP/videos/10155302127594078/,2017-04-10 15:00:00,527,35,103,478,42,0,5,0,2
77249349077_10155302182089078,"🎥 Don't miss our Party Election Broadcast for the local elections. Watch it at 18.25 on STV, and 18.55 on BBC One. 

And, if you've not already registered to vote, take five minutes to do it now at www.registertovote.scot",media.giphy.com,link,https://media.giphy.com/media/3oKIPbwICM1EIqqKqI/giphy.gif,2017-04-10 12:15:00,30,7,14,28,2,0,0,0,0
77249349077_10155301312929078,"🇺🇸 In the US, Nicola Sturgeon announced that VisitScotland & TripAdvisor will team up to boost Scottish tourism. 

Read more about how Scotland's tourism sector is going from strength to strength: https://www.snp.org/scottish_tourism_is_going_from_strength_to_strength",Timeline Photos,photo,https://www.facebook.com/theSNP/photos/a.339647974077.151375.77249349077/10155301312929078/?type=3,2017-04-10 08:00:00,902,46,154,828,66,5,3,0,0
77249349077_10155301468299078,"📊 Nicola Sturgeon is the only political leader in the UK with a positive approval rating in Scotland, according to a new poll.",Nicola Sturgeon enjoys 'highest approval rating in Scotland',link,http://www.scotsman.com/news/politics/nicola-sturgeon-enjoys-highest-approval-rating-in-scotland-1-4416172,2017-04-10 07:44:38,3534,164,413,3184,292,3,46,2,7
77249349077_10155301274994078,"📢 🇺🇸 Read Nicola Sturgeon on promoting Scotland as a place to live, work, invest and visit in the United States.",Nicola Sturgeon,link,https://www.snp.org/promoting_trade_with_scotland_in_the_us,2017-04-10 05:59:04,756,37,0,696,51,2,5,0,2
77249349077_10155301079454078,Another significant intervention underlining the depth of good will towards Scotland across Europe.,"Independent Scotland ""most welcome"" in EU, say 50 parliamentarians",link,http://www.heraldscotland.com/news/15213979.Independent_Scotland__quot_most_welcome_quot__in_EU__say_50_parliamentarians/,2017-04-10 03:44:56,1987,85,261,1764,190,10,13,0,10
77249349077_10155287419794078,"Are you registered for the council elections? If not, take 5 mins to register and have your say on your local services on 4 May. 
👉 www.registertovote.scot",gph.is,link,http://gph.is/2n5Zhk4,2017-04-09 14:35:00,37,4,23,34,1,0,2,0,0
77249349077_10155287393619078,🌎 From tackling climate change to LGBTI rights and computer game development - Scotland is a world leader. Here's how.,Scotland is a world leader,link,https://www.snp.org/scotland_is_a_world_leader,2017-04-09 10:00:00,1002,32,193,883,111,5,3,0,0
77249349077_10155287425399078,"Our Nation's future. Your choice. Be part of it. Donate today. 
👉 https://goo.gl/I4qvOz",gph.is,link,http://gph.is/2nmbcYz,2017-04-09 08:37:00,131,17,13,113,15,0,2,1,0
77249349077_10155286209034078,"Scotland's future should be in Scotland's hands. 

If you agree, donate to our referendum campaign today: https://goo.gl/oCirqR",media.giphy.com,link,https://media.giphy.com/media/3ohzdGF2H1wiT3jSwM/giphy.gif,2017-04-08 15:00:00,98,21,15,85,12,0,0,0,1
