status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
20995300784_10154369267115785,,Jonathan Bartley,link,https://www.indy100.com/article/labour-10-hour-minimum-wage-2020-policy-green-party-2015-general-election-manifesto-7676866,2017-04-10 11:06:12,355,37,0,322,16,1,16,0,0
20995300784_10154368424715785,Secret documents reveal that the Government is willing to sacrifice the environment for trade deals. Terrifying - but we'll fight it.,Government to 'scale down' climate change measures in bid to secure post-Brexit trade,link,http://www.independent.co.uk/news/uk/politics/uk-government-to-scale-down-climate-change-and-illegal-wildlife-measure-a7674706.html,2017-04-10 05:45:55,1031,43,430,304,1,14,4,117,591
20995300784_10154359557220785,"Today we've launched our local elections campaign and are excited to announce that we've fielded a record number of candidates - hundreds more than UKIP! Everywhere, Greens are making a meaningful difference in communities and with over 1,500 candidates you can elect many more this May.",Timeline Photos,photo,https://www.facebook.com/thegreenparty/photos/a.93577690784.89476.20995300784/10154359557220785/?type=3,2017-04-07 09:48:47,751,26,231,694,53,3,0,1,0
20995300784_10154359293985785,"Last night Jonathan Bartley spoke on BBC Question Time about the crisis in Syria - the need to freeze assets of those with blood on their hands, end arms sales to the Middle East, and take in more refugees.

This morning, we woke to news Donald Trump has launched air strikes against a Syrian airbase. There is no simple answer to this crisis, and President Trump's actions risk exacerbating an already complex situation – particularly in the absence of any coherent strategy to build peace. If our ultimate goal is to protect people – and it should be – we must step up soft and hard diplomacy. We need to send a strong signal to Assad that his actions are intolerable whilst at the same time avoid any escalation of violence that puts more civilian lives at risk.

Read our co-leaders' full statement here: https://www.greenparty.org.uk/news/2017/04/07/green-party-statement-on-us-airstrikes-in-syria/",,video,https://www.facebook.com/thegreenparty/videos/10154359293985785/,2017-04-07 08:01:05,438,37,84,409,25,0,0,3,1
20995300784_10154357166440785,"Tonight on BBC Question Time, Jonathan Bartley was the only panelist to stand up for freedom of movement and the environment. He called out Theresa May's Brexit for what it is - a right wing coup. And he challenged the Government for its despicable cuts to support for sick and disabled people.",Jonathan Bartley on Question Time,video,https://www.facebook.com/thegreenparty/videos/10154357166440785/,2017-04-06 18:01:57,3378,176,1344,3082,271,13,4,1,7
20995300784_10154355601770785,"Brexit threatens our environment. But Greens will protect it. At Conference, our members decided that we'll campaign for a new Environmental Protection Act - and across the country Greens are taking action to protect our communities. Help us continute that work ↓ greenparty.org.uk/climateresponsibility",Timeline Photos,photo,https://www.facebook.com/thegreenparty/photos/a.93577690784.89476.20995300784/10154355601770785/?type=3,2017-04-06 11:00:00,303,1,49,280,23,0,0,0,0
20995300784_10154356139640785,,Green Party of England and Wales's cover photo,photo,https://www.facebook.com/thegreenparty/photos/a.10150624031835785.385033.20995300784/10154356139640785/?type=3,2017-04-06 10:48:05,78,2,9,69,9,0,0,0,0
20995300784_10154355767790785,Progress! 🌞🌞🌞 Now we need massive investment renewables and a rapid phase out of existing coal plants. And strong action here at home.,The end of coal: EU energy companies pledge no new plants from 2020,link,https://www.theguardian.com/environment/2017/apr/05/the-end-of-coal-eu-energy-companies-pledge-no-new-plants-from-2020?utm_content=bufferfcef4&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,2017-04-06 09:12:00,846,18,98,789,52,2,2,1,0
20995300784_10154355738830785,"We know BBC Question Time is on late, but tonight it's worth staying up for! Watch our co-leader Jonathan Bartley share his vision for a bolder, better Britain - tonight at BBC One.",Timeline Photos,photo,https://www.facebook.com/thegreenparty/photos/a.93577690784.89476.20995300784/10154355738830785/?type=3,2017-04-06 07:48:48,270,22,88,254,16,0,0,0,0
20995300784_10154355338805785,"This is an excellent idea 👍 If only Labour would borrow our policies on Europe, Heathrow, and Trident too... 😊",Labour would fund free school meals for all primary school children by charging VAT on private school fees,link,http://www.independent.co.uk/news/uk/politics/labour-free-school-meals-universal-primary-school-children-vat-private-school-fees-a7668811.html,2017-04-06 04:32:20,2636,120,279,2379,97,1,149,0,10
